time,x,y,cte,heading_error_deg,steering_deg
0.000000,0.000000,0.000000,0.000000,0.000000,-0.067140
0.010000,0.027587,0.003250,-0.000000,-0.000691,-0.064486
0.020000,0.055174,0.006499,-0.000001,-0.001354,-0.061981
0.030000,0.082761,0.009748,-0.000001,-0.001992,-0.059615
0.040000,0.110348,0.012997,-0.000005,-0.000954,-0.057381
0.050000,0.137936,0.016245,-0.000006,-0.001545,-0.082476
0.060000,0.165523,0.019494,-0.000007,-0.002393,-0.079087
0.070000,0.193110,0.022741,-0.000008,-0.003207,-0.075892
0.080000,0.220697,0.025989,-0.000010,-0.003988,-0.072877
0.090000,0.248285,0.029236,-0.000012,-0.004737,-0.070033
0.100000,0.275872,0.032482,-0.000014,-0.005458,-0.067347
0.110000,0.303459,0.035729,-0.000023,-0.002849,-0.064811
0.120000,0.331047,0.038975,-0.000024,-0.003516,-0.094241
0.130000,0.358634,0.042220,-0.000026,-0.004486,-0.090352
0.140000,0.386222,0.045465,-0.000029,-0.005415,-0.086685
0.150000,0.413810,0.048710,-0.000032,-0.006307,-0.083226
0.160000,0.441397,0.051954,-0.000035,-0.007163,-0.079962
0.170000,0.468985,0.055198,-0.000039,-0.007986,-0.076881
0.180000,0.496573,0.058442,-0.000043,-0.008777,-0.073972
0.190000,0.524161,0.061685,-0.000054,-0.004587,-0.108099
0.200000,0.551749,0.064927,-0.000056,-0.005699,-0.103618
0.210000,0.579336,0.068169,-0.000059,-0.006765,-0.099393
0.220000,0.606924,0.071411,-0.000063,-0.007788,-0.095409
0.230000,0.634512,0.074652,-0.000067,-0.008769,-0.091650
0.240000,0.662101,0.077893,-0.000071,-0.009712,-0.088102
0.250000,0.689689,0.081133,-0.000076,-0.010619,-0.084752
0.260000,0.717277,0.084373,-0.000091,-0.004891,-0.123874
0.270000,0.744865,0.087612,-0.000094,-0.006165,-0.118716
0.280000,0.772453,0.090851,-0.000097,-0.007387,-0.113855
0.290000,0.800042,0.094089,-0.000101,-0.008558,-0.109270
0.300000,0.827630,0.097326,-0.000106,-0.009682,-0.104945
0.310000,0.855219,0.100563,-0.000111,-0.010762,-0.100863
0.320000,0.882807,0.103800,-0.000116,-0.011800,-0.097010
0.330000,0.910396,0.107036,-0.000135,-0.004551,-0.093369
0.340000,0.937985,0.110271,-0.000138,-0.005512,-0.137464
0.350000,0.965574,0.113506,-0.000141,-0.006926,-0.131809
0.360000,0.993162,0.116741,-0.000145,-0.008282,-0.126478
0.370000,1.020751,0.119974,-0.000149,-0.009583,-0.121449
0.380000,1.048340,0.123207,-0.000154,-0.010833,-0.116703
0.390000,1.075929,0.126440,-0.000159,-0.012033,-0.112222
0.400000,1.103518,0.129672,-0.000183,-0.003296,-0.107991
0.410000,1.131108,0.132903,-0.000185,-0.004407,-0.157598
0.420000,1.158697,0.136134,-0.000187,-0.006028,-0.151086
0.430000,1.186286,0.139364,-0.000191,-0.007583,-0.144947
0.440000,1.213876,0.142593,-0.000195,-0.009074,-0.139158
0.450000,1.241465,0.145821,-0.000199,-0.010505,-0.133694
0.460000,1.269055,0.149049,-0.000205,-0.011881,-0.128537
0.470000,1.296645,0.152276,-0.000211,-0.013203,-0.123667
0.480000,1.324234,0.155503,-0.000234,-0.002941,-0.178903
0.490000,1.351824,0.158729,-0.000235,-0.004781,-0.171479
0.500000,1.379414,0.161954,-0.000238,-0.006546,-0.164480
0.510000,1.407004,0.165178,-0.000242,-0.008238,-0.157880
0.520000,1.434594,0.168401,-0.000246,-0.009862,-0.151653
0.530000,1.462184,0.171624,-0.000251,-0.011422,-0.145776
0.540000,1.489775,0.174845,-0.000257,-0.012922,-0.140226
0.550000,1.517365,0.178066,-0.000284,-0.001189,-0.134984
0.560000,1.544956,0.181287,-0.000285,-0.002578,-0.195550
0.570000,1.572546,0.184506,-0.000287,-0.004590,-0.187533
0.580000,1.600137,0.187725,-0.000289,-0.006519,-0.179974
0.590000,1.627728,0.190943,-0.000293,-0.008371,-0.172843
0.600000,1.655319,0.194160,-0.000297,-0.010149,-0.166113
0.610000,1.682910,0.197376,-0.000303,-0.011858,-0.159759
0.620000,1.710501,0.200591,-0.000333,0.001311,-0.153758
0.630000,1.738092,0.203805,-0.000333,-0.000271,-0.220215
0.640000,1.765683,0.207019,-0.000334,-0.002537,-0.211147
0.650000,1.793274,0.210231,-0.000336,-0.004709,-0.202598
0.660000,1.820866,0.213443,-0.000338,-0.006793,-0.194534
0.670000,1.848458,0.216653,-0.000342,-0.008795,-0.186924
0.680000,1.876049,0.219862,-0.000347,-0.010718,-0.179740
0.690000,1.903641,0.223071,-0.000352,-0.012567,-0.172955
0.700000,1.931233,0.226279,-0.000380,0.002100,-0.245295
0.710000,1.958825,0.229485,-0.000380,-0.000424,-0.235151
0.720000,1.986417,0.232691,-0.000381,-0.002843,-0.225587
0.730000,2.014010,0.235895,-0.000383,-0.005164,-0.216566
0.740000,2.041602,0.239098,-0.000386,-0.007392,-0.208055
0.750000,2.069195,0.242301,-0.000390,-0.009532,-0.200022
0.760000,2.096788,0.245502,-0.000395,-0.011590,-0.192435
0.770000,2.124380,0.248702,-0.000427,0.004507,-0.270639
0.780000,2.151973,0.251901,-0.000425,0.001722,-0.259397
0.790000,2.179566,0.255099,-0.000425,-0.000946,-0.248800
0.800000,2.207160,0.258295,-0.000426,-0.003506,-0.238807
0.810000,2.234753,0.261490,-0.000428,-0.005963,-0.229378
0.820000,2.262347,0.264685,-0.000432,-0.008323,-0.220480
0.830000,2.289940,0.267878,-0.000437,-0.010591,-0.212077
0.840000,2.317534,0.271070,-0.000473,0.006930,-0.204141
0.850000,2.345128,0.274260,-0.000470,0.004830,-0.287603
0.860000,2.372722,0.277450,-0.000468,0.001871,-0.275802
0.870000,2.400316,0.280638,-0.000468,-0.000967,-0.264674
0.880000,2.427910,0.283825,-0.000469,-0.003690,-0.254177
0.890000,2.455505,0.287011,-0.000472,-0.006305,-0.244270
0.900000,2.483100,0.290195,-0.000475,-0.008818,-0.234917
0.910000,2.510694,0.293379,-0.000516,0.010090,-0.226083
0.920000,2.538289,0.296561,-0.000512,0.007764,-0.315533
0.930000,2.565884,0.299741,-0.000509,0.004517,-0.302529
0.940000,2.593480,0.302921,-0.000507,0.001405,-0.290268
0.950000,2.621075,0.306098,-0.000507,-0.001581,-0.278703
0.960000,2.648671,0.309275,-0.000509,-0.004449,-0.267791
0.970000,2.676266,0.312450,-0.000512,-0.007204,-0.257489
0.980000,2.703862,0.315623,-0.000516,-0.009853,-0.247760
0.990000,2.731458,0.318796,-0.000552,0.010539,-0.343099
1.000000,2.759054,0.321967,-0.000547,0.007009,-0.328897
1.010000,2.786651,0.325136,-0.000545,0.003625,-0.315508
1.020000,2.814247,0.328304,-0.000544,0.000379,-0.302881
1.030000,2.841844,0.331470,-0.000545,-0.002737,-0.290967
1.040000,2.869441,0.334635,-0.000547,-0.005730,-0.279722
1.050000,2.897038,0.337798,-0.000550,-0.008608,-0.269102
1.060000,2.924635,0.340960,-0.000591,0.013176,-0.370244
1.070000,2.952233,0.344120,-0.000585,0.009367,-0.354852
1.080000,2.979830,0.347279,-0.000582,0.005716,-0.340344
1.090000,3.007428,0.350436,-0.000580,0.002214,-0.326662
1.100000,3.035026,0.353591,-0.000579,-0.001146,-0.313754
1.110000,3.062624,0.356744,-0.000581,-0.004374,-0.301571
1.120000,3.090223,0.359896,-0.000584,-0.007477,-0.290068
1.130000,3.117821,0.363047,-0.000629,0.015697,-0.279202
1.140000,3.145420,0.366196,-0.000622,0.012824,-0.385281
1.150000,3.173019,0.369344,-0.000617,0.008861,-0.369459
1.160000,3.200618,0.372489,-0.000614,0.005060,-0.354540
1.170000,3.228217,0.375633,-0.000612,0.001412,-0.340467
1.180000,3.255817,0.378775,-0.000612,-0.002091,-0.327186
1.190000,3.283416,0.381916,-0.000614,-0.005457,-0.314647
1.200000,3.311016,0.385055,-0.000665,0.019064,-0.302805
1.210000,3.338616,0.388192,-0.000657,0.015949,-0.414789
1.220000,3.366217,0.391328,-0.000650,0.011681,-0.397681
1.230000,3.393817,0.394461,-0.000645,0.007590,-0.381552
1.240000,3.421418,0.397593,-0.000643,0.003664,-0.366338
1.250000,3.449019,0.400723,-0.000642,-0.000105,-0.351982
1.260000,3.476620,0.403851,-0.000643,-0.003726,-0.338430
1.270000,3.504221,0.406977,-0.000645,-0.007208,-0.325632
1.280000,3.531822,0.410102,-0.000690,0.018793,-0.443378
1.290000,3.559424,0.413225,-0.000682,0.014232,-0.425012
1.300000,3.587026,0.416345,-0.000676,0.009859,-0.407698
1.310000,3.614628,0.419464,-0.000672,0.005665,-0.391369
1.320000,3.642231,0.422580,-0.000670,0.001638,-0.375963
1.330000,3.669833,0.425695,-0.000670,-0.002230,-0.361421
1.340000,3.697436,0.428808,-0.000672,-0.005948,-0.347689
1.350000,3.725039,0.431919,-0.000722,0.021413,-0.471079
1.360000,3.752642,0.435028,-0.000713,0.016566,-0.451482
1.370000,3.780246,0.438135,-0.000706,0.011921,-0.433009
1.380000,3.807850,0.441239,-0.000701,0.007466,-0.415590
1.390000,3.835453,0.444342,-0.000699,0.003191,-0.399156
1.400000,3.863058,0.447442,-0.000698,-0.000916,-0.383645
1.410000,3.890662,0.450541,-0.000699,-0.004863,-0.369001
1.420000,3.918267,0.453637,-0.000755,0.023858,-0.355168
1.430000,3.945872,0.456732,-0.000745,0.020204,-0.483103
1.440000,3.973477,0.459825,-0.000736,0.015234,-0.463251
1.450000,4.001082,0.462915,-0.000730,0.010468,-0.444532
1.460000,4.028688,0.466003,-0.000726,0.005895,-0.426875
1.470000,4.056293,0.469089,-0.000724,0.001503,-0.410212
1.480000,4.083899,0.472173,-0.000724,-0.002718,-0.394480
1.490000,4.111506,0.475255,-0.000786,0.027314,-0.379623
1.500000,4.139112,0.478335,-0.000774,0.023408,-0.513336
1.510000,4.166719,0.481413,-0.000763,0.018127,-0.492151
1.520000,4.194326,0.484488,-0.000756,0.013063,-0.472177
1.530000,4.221933,0.487561,-0.000751,0.008205,-0.453338
1.540000,4.249541,0.490632,-0.000748,0.003541,-0.435561
1.550000,4.277149,0.493700,-0.000747,-0.000940,-0.418781
1.560000,4.304757,0.496767,-0.000749,-0.005248,-0.402933
1.570000,4.332365,0.499831,-0.000802,0.026260,-0.542256
1.580000,4.359973,0.502893,-0.000790,0.020681,-0.519781
1.590000,4.387582,0.505952,-0.000782,0.015334,-0.498595
1.600000,4.415191,0.509009,-0.000775,0.010204,-0.478613
1.610000,4.442801,0.512063,-0.000772,0.005280,-0.459761
1.620000,4.470410,0.515115,-0.000770,0.000550,-0.441967
1.630000,4.498020,0.518165,-0.000771,-0.003997,-0.425164
1.640000,4.525630,0.521213,-0.000830,0.028839,-0.569961
1.650000,4.553240,0.524258,-0.000818,0.022975,-0.546238
1.660000,4.580851,0.527300,-0.000808,0.017355,-0.523876
1.670000,4.608462,0.530340,-0.000801,0.011965,-0.502790
1.680000,4.636073,0.533377,-0.000796,0.006792,-0.482896
1.690000,4.663685,0.536412,-0.000794,0.001824,-0.464121
1.700000,4.691297,0.539445,-0.000794,-0.002951,-0.446395
1.710000,4.718909,0.542475,-0.000860,0.031214,-0.429651
1.720000,4.746521,0.545503,-0.000846,0.026793,-0.578604
1.730000,4.774133,0.548528,-0.000835,0.020840,-0.554816
1.740000,4.801746,0.551551,-0.000826,0.015132,-0.532386
1.750000,4.829359,0.554571,-0.000820,0.009655,-0.511228
1.760000,4.856973,0.557588,-0.000817,0.004395,-0.491262
1.770000,4.884586,0.560603,-0.000816,-0.000659,-0.472412
1.780000,4.912200,0.563616,-0.000817,-0.005519,-0.454610
1.790000,4.939815,0.566626,-0.000873,0.030099,-0.609219
1.800000,4.967429,0.569634,-0.000859,0.023831,-0.584065
1.810000,4.995044,0.572638,-0.000849,0.017822,-0.560351
1.820000,5.022659,0.575640,-0.000842,0.012057,-0.537983
1.830000,5.050274,0.578639,-0.000838,0.006522,-0.516878
1.840000,5.077890,0.581635,-0.000836,0.001204,-0.496954
1.850000,5.105506,0.584629,-0.000836,-0.003908,-0.478140
1.860000,5.133122,0.587621,-0.000898,0.032998,-0.638214
1.870000,5.160739,0.590610,-0.000884,0.026431,-0.611752
1.880000,5.188356,0.593595,-0.000873,0.020137,-0.586807
1.890000,5.215973,0.596578,-0.000864,0.014100,-0.563281
1.900000,5.243590,0.599558,-0.000859,0.008305,-0.541084
1.910000,5.271208,0.602535,-0.000856,0.002738,-0.520133
1.920000,5.298826,0.605509,-0.000856,-0.002613,-0.500350
1.930000,5.326444,0.608481,-0.000925,0.035583,-0.665741
1.940000,5.354063,0.611450,-0.000909,0.028734,-0.638021
1.950000,5.381682,0.614416,-0.000897,0.022170,-0.611893
