time,x,y,cte,heading_error_deg,steering_deg
0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
0.010000,0.027587,0.003250,0.000000,0.000000,-0.000000
0.020000,0.055174,0.006500,0.000000,0.000000,-0.000000
0.030000,0.082761,0.009750,0.000000,0.000000,-0.000000
0.040000,0.110348,0.013000,-0.000003,0.001651,-0.001614
0.050000,0.137935,0.016249,-0.000002,0.001634,-0.001609
0.060000,0.165522,0.019499,-0.000001,0.001618,-0.001603
0.070000,0.193109,0.022749,-0.000000,0.001601,-0.001598
0.080000,0.220696,0.025999,0.000001,0.001585,-0.001592
0.090000,0.248283,0.029249,0.000001,0.001568,-0.001586
0.100000,0.275870,0.032499,0.000002,0.001552,-0.001581
0.110000,0.303457,0.035749,-0.000003,0.004837,-0.004797
0.120000,0.331044,0.038998,-0.000001,0.004788,-0.004780
0.130000,0.358631,0.042248,0.000002,0.004739,-0.004763
0.140000,0.386218,0.045498,0.000004,0.004690,-0.004746
0.150000,0.413805,0.048748,0.000006,0.004641,-0.004729
0.160000,0.441392,0.051997,0.000009,0.004592,-0.004712
0.170000,0.468979,0.055247,0.000011,0.004544,-0.004694
0.180000,0.496566,0.058497,0.000013,0.004495,-0.004677
0.190000,0.524153,0.061746,0.000008,0.009398,-0.009516
0.200000,0.551740,0.064996,0.000013,0.009300,-0.009481
0.210000,0.579327,0.068246,0.000017,0.009203,-0.009446
0.220000,0.606915,0.071495,0.000022,0.009106,-0.009411
0.230000,0.634502,0.074745,0.000026,0.009009,-0.009376
0.240000,0.662089,0.077994,0.000031,0.008912,-0.009340
0.250000,0.689676,0.081243,0.000035,0.008816,-0.009304
0.260000,0.717263,0.084493,0.000029,0.015320,-0.015730
0.270000,0.744850,0.087742,0.000037,0.015158,-0.015672
0.280000,0.772437,0.090991,0.000044,0.014997,-0.015613
0.290000,0.800024,0.094240,0.000051,0.014836,-0.015553
0.300000,0.827611,0.097489,0.000058,0.014676,-0.015493
0.310000,0.855198,0.100738,0.000065,0.014517,-0.015433
0.320000,0.882785,0.103987,0.000072,0.014358,-0.015372
0.330000,0.910373,0.107236,0.000066,0.022447,-0.023370
0.340000,0.937960,0.110485,0.000077,0.022206,-0.023281
0.350000,0.965547,0.113733,0.000088,0.021967,-0.023192
0.360000,0.993134,0.116982,0.000098,0.021728,-0.023101
0.370000,1.020721,0.120230,0.000109,0.021491,-0.023010
0.380000,1.048308,0.123478,0.000119,0.021254,-0.022918
0.390000,1.075896,0.126727,0.000129,0.021018,-0.022826
0.400000,1.103483,0.129975,0.000122,0.030675,-0.032383
0.410000,1.131070,0.133223,0.000137,0.030342,-0.032256
0.420000,1.158657,0.136470,0.000152,0.030010,-0.032129
0.430000,1.186245,0.139718,0.000166,0.029680,-0.032001
0.440000,1.213832,0.142965,0.000180,0.029350,-0.031872
0.450000,1.241419,0.146213,0.000194,0.029023,-0.031742
0.460000,1.269007,0.149460,0.000208,0.028696,-0.031611
0.470000,1.296594,0.152707,0.000222,0.028371,-0.031479
0.480000,1.324181,0.155953,0.000220,0.039582,-0.042656
0.490000,1.351769,0.159200,0.000239,0.039143,-0.042484
0.500000,1.379356,0.162446,0.000258,0.038706,-0.042311
0.510000,1.406944,0.165693,0.000276,0.038271,-0.042137
0.520000,1.434531,0.168939,0.000295,0.037837,-0.041961
0.530000,1.462119,0.172184,0.000313,0.037405,-0.041785
0.540000,1.489706,0.175430,0.000331,0.036975,-0.041607
0.550000,1.517294,0.178675,0.000329,0.049723,-0.054323
0.560000,1.544881,0.181920,0.000353,0.049164,-0.054099
0.570000,1.572469,0.185165,0.000377,0.048607,-0.053874
0.580000,1.600056,0.188410,0.000400,0.048053,-0.053647
0.590000,1.627644,0.191654,0.000423,0.047501,-0.053419
0.600000,1.655232,0.194898,0.000446,0.046951,-0.053190
0.610000,1.682820,0.198142,0.000469,0.046404,-0.052959
0.620000,1.710407,0.201385,0.000467,0.060672,-0.067197
0.630000,1.737995,0.204629,0.000496,0.059981,-0.066915
0.640000,1.765583,0.207871,0.000525,0.059292,-0.066631
0.650000,1.793171,0.211114,0.000553,0.058607,-0.066345
0.660000,1.820759,0.214356,0.000582,0.057924,-0.066057
0.670000,1.848347,0.217598,0.000610,0.057244,-0.065768
0.680000,1.875935,0.220840,0.000637,0.056568,-0.065477
0.690000,1.903523,0.224081,0.000664,0.055894,-0.065185
0.700000,1.931111,0.227322,0.000670,0.071670,-0.081039
0.710000,1.958699,0.230562,0.000705,0.070836,-0.080689
0.720000,1.986287,0.233803,0.000739,0.070006,-0.080336
0.730000,2.013875,0.237042,0.000772,0.069180,-0.079981
0.740000,2.041464,0.240282,0.000806,0.068357,-0.079625
0.750000,2.069052,0.243521,0.000839,0.067538,-0.079266
0.760000,2.096640,0.246759,0.000871,0.066722,-0.078906
0.770000,2.124229,0.249998,0.000878,0.083987,-0.096260
0.780000,2.151817,0.253235,0.000918,0.082997,-0.095835
0.790000,2.179405,0.256473,0.000958,0.082011,-0.095409
0.800000,2.206994,0.259709,0.000998,0.081029,-0.094980
0.810000,2.234583,0.262946,0.001037,0.080052,-0.094549
0.820000,2.262171,0.266182,0.001075,0.079079,-0.094115
0.830000,2.289760,0.269417,0.001113,0.078111,-0.093680
0.840000,2.317349,0.272652,0.001120,0.096850,-0.112517
0.850000,2.344938,0.275886,0.001167,0.095692,-0.112012
0.860000,2.372526,0.279120,0.001213,0.094540,-0.111504
0.870000,2.400115,0.282353,0.001259,0.093393,-0.110994
0.880000,2.427704,0.285586,0.001304,0.092251,-0.110481
0.890000,2.455294,0.288818,0.001348,0.091114,-0.109966
0.900000,2.482883,0.292050,0.001392,0.089983,-0.109449
0.910000,2.510472,0.295281,0.001399,0.110181,-0.129751
0.920000,2.538061,0.298512,0.001453,0.108846,-0.129159
0.930000,2.565651,0.301742,0.001505,0.107517,-0.128563
0.940000,2.593240,0.304971,0.001557,0.106195,-0.127965
0.950000,2.620830,0.308199,0.001608,0.104878,-0.127364
0.960000,2.648419,0.311427,0.001658,0.103568,-0.126760
0.970000,2.676009,0.314655,0.001708,0.102264,-0.126154
0.980000,2.703598,0.317882,0.001758,0.100966,-0.125545
0.990000,2.731188,0.321108,0.001776,0.122615,-0.147448
1.000000,2.758778,0.324333,0.001835,0.121098,-0.146757
1.010000,2.786368,0.327558,0.001893,0.119589,-0.146063
1.020000,2.813958,0.330782,0.001951,0.118086,-0.145366
1.030000,2.841548,0.334005,0.002008,0.116590,-0.144666
1.040000,2.869139,0.337227,0.002064,0.115102,-0.143963
1.050000,2.896729,0.340449,0.002119,0.113621,-0.143258
1.060000,2.924319,0.343670,0.002138,0.136699,-0.166601
1.070000,2.951910,0.346891,0.002204,0.134985,-0.165808
1.080000,2.979500,0.350110,0.002269,0.133279,-0.165012
1.090000,3.007091,0.353329,0.002333,0.131582,-0.164212
1.100000,3.034682,0.356547,0.002397,0.129892,-0.163409
1.110000,3.062273,0.359764,0.002459,0.128211,-0.162602
1.120000,3.089864,0.362980,0.002521,0.126538,-0.161793
