time,x,y,theta_deg,v,cte,dist_from_centre
0.000000,10.000000,0.000000,90.000000,5.000000,-0.000000,10.000000
0.010000,9.999875,0.050000,90.286479,5.000000,-0.000399,10.000000
0.020000,9.999500,0.099998,90.572958,5.000000,-0.000547,10.000000
0.030000,9.998875,0.149994,90.859437,5.000000,0.000799,10.000000
0.040000,9.998000,0.199987,91.145916,5.000000,0.000103,10.000000
0.050000,9.996875,0.249974,91.432394,5.000000,-0.000342,10.000000
0.060000,9.995500,0.299955,91.718873,5.000000,-0.000538,10.000000
0.070000,9.993876,0.349929,92.005352,5.000000,0.000958,10.000000
0.080000,9.992001,0.399893,92.291831,5.000000,0.000216,10.000000
0.090000,9.989877,0.449848,92.578310,5.000000,-0.000277,10.000000
0.100000,9.987503,0.499792,92.864789,5.000000,-0.000520,10.000000
0.110000,9.984879,0.549723,93.151268,5.000000,0.001127,10.000000
0.120000,9.982005,0.599640,93.437747,5.000000,0.000337,10.000000
0.130000,9.978882,0.649542,93.724226,5.000000,-0.000204,10.000000
0.140000,9.975510,0.699428,94.010705,5.000000,-0.000494,10.000000
0.150000,9.971888,0.749297,94.297183,5.000000,0.001304,10.000000
0.160000,9.968017,0.799147,94.583662,5.000000,0.000467,10.000000
0.170000,9.963897,0.848977,94.870141,5.000000,-0.000121,10.000000
0.180000,9.959527,0.898785,95.156620,5.000000,-0.000458,10.000000
0.190000,9.954909,0.948572,95.443099,5.000000,0.001490,10.000000
0.200000,9.950042,0.998334,95.729578,5.000000,0.000606,10.000000
0.210000,9.944926,1.048072,96.016057,5.000000,-0.000029,10.000000
0.220000,9.939561,1.097783,96.302536,5.000000,-0.000414,10.000000
0.230000,9.933948,1.147467,96.589015,5.000000,-0.000548,10.000000
0.240000,9.928086,1.197122,96.875494,5.000000,0.000753,10.000000
0.250000,9.921977,1.246747,97.161972,5.000000,0.000072,10.000000
0.260000,9.915619,1.296341,97.448451,5.000000,-0.000360,10.000000
0.270000,9.909013,1.345903,97.734930,5.000000,-0.000542,10.000000
0.280000,9.902160,1.395431,98.021409,5.000000,0.000910,10.000000
0.290000,9.895059,1.444924,98.307888,5.000000,0.000181,10.000000
0.300000,9.887711,1.494381,98.594367,5.000000,-0.000298,10.000000
0.310000,9.880115,1.543801,98.880846,5.000000,-0.000527,10.000000
0.320000,9.872273,1.593182,99.167325,5.000000,0.001076,10.000000
0.330000,9.864184,1.642523,99.453804,5.000000,0.000300,10.000000
0.340000,9.855848,1.691823,99.740283,5.000000,-0.000226,10.000000
0.350000,9.847265,1.741081,100.026761,5.000000,-0.000503,10.000000
0.360000,9.838437,1.790296,100.313240,5.000000,0.001250,10.000000
0.370000,9.829363,1.839465,100.599719,5.000000,0.000427,10.000000
0.380000,9.820042,1.888589,100.886198,5.000000,-0.000146,10.000000
0.390000,9.810477,1.937665,101.172677,5.000000,-0.000470,10.000000
0.400000,9.800666,1.986693,101.459156,5.000000,0.001434,10.000000
0.410000,9.790610,2.035672,101.745635,5.000000,0.000563,10.000000
0.420000,9.780309,2.084599,102.032114,5.000000,-0.000057,10.000000
0.430000,9.769764,2.133474,102.318593,5.000000,-0.000428,10.000000
0.440000,9.758974,2.182296,102.605071,5.000000,0.001626,10.000000
0.450000,9.747941,2.231064,102.891550,5.000000,0.000709,10.000000
0.460000,9.736664,2.279775,103.178029,5.000000,0.000041,10.000000
0.470000,9.725143,2.328430,103.464508,5.000000,-0.000377,10.000000
0.480000,9.713380,2.377026,103.750987,5.000000,-0.000545,10.000000
0.490000,9.701373,2.425563,104.037466,5.000000,0.000863,10.000000
0.500000,9.689124,2.474040,104.323945,5.000000,0.000148,10.000000
0.510000,9.676633,2.522454,104.610424,5.000000,-0.000317,10.000000
0.520000,9.663900,2.570806,104.896903,5.000000,-0.000532,10.000000
0.530000,9.650925,2.619093,105.183382,5.000000,0.001026,10.000000
0.540000,9.637709,2.667314,105.469860,5.000000,0.000264,10.000000
0.550000,9.624252,2.715469,105.756339,5.000000,-0.000249,10.000000
0.560000,9.610554,2.763556,106.042818,5.000000,-0.000511,10.000000
0.570000,9.596617,2.811575,106.329297,5.000000,0.001198,10.000000
0.580000,9.582439,2.859522,106.615776,5.000000,0.000388,10.000000
0.590000,9.568021,2.907399,106.902255,5.000000,-0.000171,10.000000
0.600000,9.553365,2.955202,107.188734,5.000000,-0.000480,10.000000
0.610000,9.538470,3.002932,107.475213,5.000000,0.001379,10.000000
0.620000,9.523336,3.050586,107.761692,5.000000,0.000522,10.000000
0.630000,9.507964,3.098165,108.048171,5.000000,-0.000085,10.000000
0.640000,9.492354,3.145666,108.334649,5.000000,-0.000441,10.000000
0.650000,9.476507,3.193088,108.621128,5.000000,0.001568,10.000000
0.660000,9.460423,3.240430,108.907607,5.000000,0.000665,10.000000
0.670000,9.444103,3.287692,109.194086,5.000000,0.000011,10.000000
0.680000,9.427547,3.334871,109.480565,5.000000,-0.000393,10.000000
0.690000,9.410755,3.381967,109.767044,5.000000,-0.000547,10.000000
0.700000,9.393727,3.428978,110.053523,5.000000,0.000816,10.000000
0.710000,9.376465,3.475904,110.340002,5.000000,0.000115,10.000000
