t,true_x,true_y,true_v,est_x,est_y,est_v,est_err,cte,steer_deg,accel
0,2.5,2.5,7.83446,2.47264,2.68494,7.82942,0.186954,0,30.023,0.0100615
0.02,2.65245,2.5362,7.83466,2.62557,2.7186,7.82311,0.184373,0.156684,30.023,0.0226561
0.04,2.8036,2.57749,7.83511,2.77716,2.75735,7.81701,0.181795,0.193713,30.023,-0.563696
0.06,2.95318,2.62379,7.82384,2.92724,2.80112,7.8004,0.179218,0.0442288,30.023,-0.530683
0.08,3.10092,2.67501,7.81323,3.07547,2.84977,7.78991,0.176605,0.125125,30.023,-0.509724
0.1,3.24666,2.73106,7.80303,3.2218,2.90326,7.77761,0.17399,0.239807,30.023,-1.64615
0.12,3.39006,2.79177,7.77011,3.36602,2.96154,7.75436,0.171463,0.117154,30.023,-1.6
0.14,3.53078,2.85695,7.73811,3.50779,3.02443,7.71642,0.169053,0.139118,30.023,-1.52425
0.16,3.6687,2.92647,7.70762,3.64669,3.09168,7.68935,0.16667,0.271631,30.023,-1.47018
0.18,3.80372,3.00022,7.67822,3.78281,3.16325,7.65872,0.164368,0.22101,30.023,-2.89954
0.2,3.9355,3.07791,7.62023,4.05357,3.61617,7.69975,0.551052,0.224225,30.023,-4.39229
0.22,4.06345,3.15908,7.53238,4.18394,3.69814,7.6092,0.552362,0.316042,30.023,-4.21188
0.24,4.18729,3.24336,7.44815,4.3101,3.78325,7.52447,0.553678,0.349005,30.023,-4.04266
0.26,4.30704,3.33057,7.36729,4.43214,3.8713,7.44785,0.555008,0.349186,30.023,-4.69838
0.28,4.42261,3.42045,7.27333,4.55015,3.9622,7.36826,0.556557,0.410262,30.023,-4.53964
0.3,4.5339,3.5127,7.18253,4.66404,4.05571,7.27527,0.558387,0.492668,30.023,-4.35394
0.32,4.64097,3.60715,7.09545,4.7736,4.15146,7.18573,0.560239,0.492187,30.023,-4.05197
0.34,4.74389,3.70366,7.01442,4.87893,4.24924,7.0944,0.562044,0.534788,30.023,-3.86955
0.36,4.84275,3.80209,6.93702,4.97996,4.34886,7.01949,0.56372,0.610277,30.023,-3.71992
0.38,4.9376,3.90232,6.86263,5.07699,4.45032,6.94381,0.565448,0.641505,30.023,-2.52331
0.4,5.02863,4.00436,6.81216,4.85466,4.44587,6.57124,0.474551,0.672574,30.023,-1.77914
0.42,5.11609,4.10836,6.77658,4.93884,4.5468,6.52956,0.472913,0.73143,30.023,-1.69573
0.44,5.20006,4.2143,6.74266,5.01955,4.64947,6.48816,0.471122,0.790853,30.023,-1.61306
0.46,5.28055,4.32209,6.7104,5.09673,4.75378,6.46078,0.469198,0.814238,30.023,-1.55836
0.48,5.35754,4.43163,6.67923,5.17059,4.85981,6.43832,0.467211,0.861577,30.023,-1.51351
0.5,5.43103,4.54282,6.64896,5.24112,4.96754,6.40618,0.465252,0.928872,30.023,-0.140162
0.52,5.50115,4.65577,6.64616,5.30819,5.0767,6.4071,0.463053,0.967815,30.023,-0.141652
0.54,5.568,4.77062,6.64333,5.37214,5.18775,6.40418,0.460823,1.00701,30.023,-0.135822
0.56,5.63153,4.88728,6.64061,5.4329,5.30051,6.40788,0.45849,1.06481,30.023,-0.143213
0.58,5.6917,5.00564,6.63775,5.49046,5.41501,6.40602,0.456151,1.13832,30.023,0.50243
0.6,5.7485,5.12574,6.6478,4.73299,5.18896,5.31236,1.01748,1.18457,30.023,2.68618
0.62,5.80212,5.24799,6.70152,4.77013,5.2885,5.37357,1.03279,1.23646,30.023,2.56452
0.64,5.8526,5.3727,6.75281,4.80476,5.39024,5.42232,1.04798,1.30385,30.023,2.46715
0.66,5.89981,5.49975,6.80215,4.83673,5.49387,5.47943,1.06309,1.38479,-28.9604,2.3531
0.68,5.94728,5.62774,6.84921,4.86593,5.5995,5.53446,1.08173,1.45648,-28.9604,2.24319
0.7,5.99868,5.7552,6.89408,4.89838,5.70532,5.57646,1.10143,1.51184,-28.9604,2.15931
0.72,6.054,5.88196,6.93726,4.93407,5.81098,5.61376,1.12218,1.57433,-28.9604,2.08482
0.74,6.11328,6.00786,6.97896,4.97302,5.91629,5.65484,1.14393,1.64322,-28.9604,2.00277
0.76,6.17649,6.13275,7.01902,5.01524,6.02121,5.69665,1.1666,1.71782,-28.9604,1.91929
0.78,6.24365,6.25645,7.0574,5.06081,6.12563,5.73363,1.19005,1.76647,-28.9604,1.84544
0.8,6.31474,6.37881,7.09431,5.42573,5.78235,5.44845,1.07056,1.81608,-28.9604,2.41481
0.82,6.3898,6.49978,7.14261,5.4831,5.875,5.48748,1.10112,1.87173,-28.9604,2.33701
0.84,6.4689,6.61929,7.18935,5.54359,5.96657,5.54092,1.13236,1.93303,-28.9604,2.2303
0.86,6.55201,6.73716,7.23395,5.60735,6.0572,5.58353,1.16393,1.99803,-30.023,1.45199
0.88,6.6391,6.85305,7.26299,5.67427,6.1466,5.59232,1.19581,2.03645,-30.023,1.43424
0.9,6.7301,6.96663,7.29168,5.74403,6.23403,5.61801,1.22843,2.08022,-30.023,1.38294
0.92,6.82498,7.07774,7.31934,5.81682,6.31963,5.64618,1.2614,2.12905,-30.023,1.3267
0.94,6.92365,7.18623,7.34587,5.89264,6.40331,5.68246,1.29458,2.18261,-30.023,1.25425
0.96,7.02604,7.29193,7.37096,5.97157,6.48508,5.70525,1.32775,2.24055,-30.023,-0.508386
0.98,7.13182,7.39445,7.36079,6.05339,6.56461,5.70254,1.36075,2.27943,-30.023,-0.50341
1,7.24063,7.49346,7.35072,6.43182,6.79078,6.10973,1.07141,2.31606,-30.023,-1.3164
1.02,7.35222,7.58876,7.32439,6.52677,6.8677,6.09109,1.09603,2.35681,-30.023,-3.16084
1.04,7.46604,7.67995,7.26117,6.62378,6.94138,6.01418,1.12022,2.40123,-30.023,-3.00776
1.06,7.58165,7.76683,7.20102,6.72181,7.01109,5.96146,1.14476,2.44888,-30.023,-2.90245
1.08,7.69892,7.84942,7.14297,6.82106,7.07715,5.91067,1.1692,2.49944,-30.023,-2.80102
1.1,7.81771,7.92776,7.08695,6.92144,7.13958,5.8709,1.19353,2.53486,-30.023,-2.7216
1.12,7.93788,8.00188,7.03252,7.02299,7.19854,5.81855,1.21753,2.56546,-30.023,-2.61704
1.14,8.0593,8.07182,6.98018,7.12532,7.25394,5.76632,1.24146,2.59899,-30.023,-3.68089
1.16,8.18164,8.1375,6.90656,7.22832,7.30583,5.68564,1.26511,2.6352,-30.023,-3.52007
1.18,8.30459,8.1989,6.83616,7.33134,7.35397,5.61703,1.28884,2.6738,-30.023,-3.38305
1.2,8.42802,8.25609,6.7685,7.68501,7.33922,5.74132,1.18013,2.71457,-30.023,-3.63117
1.22,8.55178,8.30913,6.69587,7.79331,7.37737,5.66277,1.20143,2.75703,-30.023,-3.4744
1.24,8.67568,8.35807,6.62639,7.90117,7.41191,5.60119,1.22273,2.77904,-30.023,-3.4671
1.26,8.79961,8.40302,6.55704,8.00878,7.44306,5.53254,1.24376,2.80323,-30.023,-3.33005
1.28,8.92346,8.44403,6.49044,8.11589,7.47083,5.45366,1.26463,2.82946,-30.023,-3.1725
1.3,9.04717,8.48122,6.42699,8.22219,7.49527,5.39147,1.28557,2.85758,-30.023,-3.04831
1.32,9.17064,8.51466,6.36603,8.3279,7.51651,5.33077,1.30634,2.88747,-30.023,-2.92709
1.34,9.29382,8.54445,6.30748,8.43297,7.53466,5.2747,1.32694,2.91899,-30.023,-2.81511
1.36,9.41664,8.57066,6.25118,8.53737,7.54978,5.21588,1.34734,2.94107,-30.023,-2.69763
1.38,9.53903,8.59337,6.19723,8.64097,7.56196,5.16027,1.3676,2.95506,-30.023,-2.58657
1.4,9.66094,8.61267,6.1455,8.57521,7.72082,5.0243,1.40507,2.97078,-30.023,-2.31507
1.42,9.78234,8.62862,6.0992,8.67517,7.73106,4.9842,1.42529,2.98816,-30.023,-1.28066
1.44,9.9034,8.64132,6.07358,8.77456,7.73866,4.95254,1.44536,3.00716,-30.023,-1.2172
1.46,10.0243,8.65083,6.04924,8.87349,7.74367,4.93228,1.46533,3.02774,-30.023,-1.17674
1.48,10.1448,8.65718,6.02571,8.9721,7.74608,4.91216,1.48505,3.03959,-30.023,-1.13655
1.5,10.2651,8.6604,6.00297,9.07035,7.74593,4.8839,1.50453,3.04324,-30.023,-1.08012
1.52,10.3849,8.66054,5.98137,9.16799,7.74327,4.86315,1.5239,3.04853,-30.023,-1.03868
1.54,10.5043,8.65762,5.9606,9.26512,7.73815,4.85549,1.54304,3.05541,-30.023,-1.02337
1.56,10.6231,8.65167,5.94013,9.36193,7.73059,4.83177,1.56174,3.06387,-2.91309,-0.976003
1.58,10.7415,8.6441,5.92061,9.45805,7.72063,4.82047,1.58116,3.07184,7.32525,0.810569
1.6,10.8599,8.63674,5.93682,10.1459,7.43217,5.40903,1.40028,3.06802,17.6779,1.68643
1.62,10.9788,8.63052,5.97055,10.2522,7.41232,5.44454,1.41841,3.06997,17.6779,1.61576
1.64,11.0984,8.62594,6.00287,10.3595,7.39387,5.47778,1.43666,3.07826,17.6779,1.54937
1.66,11.2187,8.62305,6.03385,10.4677,7.37685,5.50096,1.455,3.09294,17.6779,1.50308
1.68,11.3397,8.62187,6.06391,10.5767,7.36138,5.52896,1.47346,3.10145,17.6779,1.44716
1.7,11.4613,8.62242,6.09286,10.6864,7.34739,5.56778,1.49205,3.10888,27.5136,3
1.72,11.5837,8.6253,6.15286,10.797,7.33492,5.63182,1.51128,3.12344,27.5136,2.93936
1.74,11.7072,8.63114,6.21165,10.9092,7.32495,5.68183,1.53067,3.14579,27.5136,2.83948
1.76,11.8317,8.64002,6.26843,11.0226,7.3176,5.73283,1.5503,3.15633,27.5136,2.73763
1.78,11.957,8.65202,6.32319,11.1372,7.31296,5.79309,1.57011,3.17454,27.5136,2.61728
1.8,12.0831,8.6672,6.37553,11.7084,7.65621,6.46794,1.07819,3.20085,30.023,2.60164
1.82,12.2098,8.68579,6.42757,11.8376,7.66222,6.53145,1.08912,3.21905,30.023,2.47484
1.84,12.3369,8.70804,6.47706,11.9679,7.67184,6.58084,1.09993,3.24248,30.023,2.3762
1.86,12.4643,8.73399,6.52459,12.0988,7.68519,6.64063,1.11065,3.27457,30.023,2.38357
1.88,12.5918,8.76371,6.57226,12.2305,7.70238,6.68718,1.12114,3.30357,30.023,2.29063
1.9,12.7194,8.79724,6.61807,12.3626,7.72341,6.72147,1.13156,3.33368,30.023,2.22214
1.92,12.8468,8.83463,6.66251,12.4947,7.74829,6.76755,1.14197,3.37255,30.023,2.13013
1.94,12.974,8.8759,6.70512,12.627,7.77717,6.81038,1.15223,3.41596,30.023,2.17083
