t,kf_err,ekf_err,kf_P_trace,ekf_P_trace
0,1.66338,1.66337,21.2383,18.3353
0.02,1.66622,1.66445,21.2464,19.3496
0.04,1.67093,1.66559,21.2609,20.3704
0.06,1.67753,1.66677,21.2818,21.3988
0.08,1.68605,1.66816,21.3092,22.4356
0.1,1.69652,1.66957,21.3429,23.482
0.12,1.70896,1.67088,21.383,24.5389
0.14,1.7234,1.6721,21.4296,25.6071
0.16,1.73986,1.67336,21.4826,26.6878
0.18,1.75837,1.67459,21.542,27.7819
0.2,2.42603,2.43632,15.6871,22.7436
0.22,2.43442,2.44404,15.731,23.8229
0.24,2.44379,2.4518,15.7813,24.9191
0.26,2.45423,2.45941,15.8379,26.0331
0.28,2.46583,2.46695,15.9009,27.1658
0.3,2.47867,2.47442,15.9703,28.3184
0.32,2.49284,2.48171,16.0461,29.4917
0.34,2.50844,2.48881,16.1282,30.6867
0.36,2.52553,2.49598,16.2167,31.9045
0.38,2.54419,2.50302,16.3116,33.1459
0.4,2.00191,1.7454,13.4806,29.486
0.42,2.03705,1.73952,13.5559,30.6711
0.44,2.07437,1.73404,13.6373,31.8788
0.46,2.11388,1.72897,13.7249,33.1099
0.48,2.15556,1.72433,13.8188,34.3653
0.5,2.1994,1.7201,13.9188,35.6459
0.52,2.24538,1.71623,14.0251,36.9524
0.54,2.29346,1.71286,14.1375,38.2859
0.56,2.34363,1.70997,14.2562,39.6473
0.58,2.39584,1.70753,14.3811,41.0372
0.6,3.03428,2.66674,12.2417,34.2476
0.62,3.10667,2.71194,12.3432,35.5031
0.64,3.18058,2.7592,12.4505,36.7818
0.66,3.25597,2.8084,12.5637,38.0844
0.68,3.33279,2.85948,12.6827,39.4116
0.7,3.41103,2.91237,12.8077,40.7641
0.72,3.49063,2.96688,12.9385,42.1427
0.74,3.57155,3.02284,13.0752,43.5483
0.76,3.65376,3.08029,13.2178,44.9813
0.78,3.73723,3.13901,13.3663,46.4428
0.8,2.45284,2.35672,11.3391,35.5085
0.82,2.52127,2.42437,11.4599,36.8054
0.84,2.5907,2.49269,11.586,38.1252
0.86,2.66108,2.56146,11.7176,39.469
0.88,2.73241,2.63083,11.8546,40.8372
0.9,2.80465,2.70066,11.997,42.2309
0.92,2.8778,2.77071,12.1448,43.6508
0.94,2.95185,2.84101,12.2981,45.0977
0.96,3.02677,2.91158,12.4568,46.5723
0.98,3.10255,2.98252,12.6208,48.0753
1,2.32207,1.82989,10.5447,35.1034
1.02,2.3868,1.85796,10.6771,36.4478
1.04,2.45235,1.88627,10.8143,37.8194
1.06,2.51872,1.91478,10.9563,39.2188
1.08,2.58589,1.94359,11.1032,40.647
1.1,2.65387,1.97285,11.2549,42.1045
1.12,2.72265,2.00226,11.4115,43.5926
1.14,2.79223,2.03179,11.5729,45.1119
1.16,2.86262,2.06129,11.7392,46.6637
1.18,2.9338,2.09084,11.9103,48.2486
1.2,2.24157,1.47638,9.78199,34.6804
1.22,2.30008,1.48857,9.91865,36.0763
1.24,2.35937,1.50125,10.0595,37.5028
1.26,2.41943,1.51463,10.2046,38.9607
1.28,2.48027,1.52865,10.354,40.4506
1.3,2.54189,1.54315,10.5075,41.9737
1.32,2.60429,1.55796,10.6653,43.5311
1.34,2.66749,1.5731,10.8274,45.1237
1.36,2.73149,1.58865,10.9937,46.7521
1.38,2.79629,1.60479,11.1642,48.4168
1.4,2.54446,1.5729,9.04056,34.6814
1.42,2.60526,1.58576,9.17566,36.1263
1.44,2.6669,1.59885,9.31438,37.6017
1.46,2.7294,1.6122,9.45672,39.1085
1.48,2.79275,1.62567,9.60269,40.6476
1.5,2.85698,1.63943,9.75228,42.2197
1.52,2.92208,1.65332,9.90551,43.8258
1.54,2.98807,1.66737,10.0624,45.4666
1.56,3.05497,1.6815,10.2229,47.1433
1.58,3.12278,1.69587,10.387,48.8561
1.6,2.24682,1.46323,8.33373,34.7021
1.62,2.29386,1.48913,8.46326,36.1748
1.64,2.3418,1.51597,8.59587,37.6804
1.66,2.39067,1.54364,8.73154,39.22
1.68,2.44048,1.57214,8.87029,40.7945
1.7,2.49124,1.60136,9.01212,42.4048
1.72,2.54297,1.63128,9.15702,44.0521
1.74,2.59569,1.66188,9.30501,45.7368
1.76,2.64941,1.69316,9.45609,47.4596
1.78,2.70413,1.72505,9.61025,49.2216
1.8,1.97269,1.0805,7.67718,35.0629
1.82,2.01866,1.10153,7.79885,36.5979
1.84,2.06601,1.12374,7.92311,38.1692
1.86,2.11475,1.1471,8.04996,39.7781
1.88,2.16489,1.17153,8.1794,41.4256
1.9,2.21644,1.19696,8.31144,43.1125
1.92,2.26942,1.22321,8.44608,44.8393
1.94,2.32384,1.25028,8.58333,46.6071
1.96,2.3797,1.27809,8.72317,48.4164
1.98,2.43701,1.30652,8.86562,50.2677
2,1.079,1.97023,7.08079,35.3091
2.02,1.12784,2.04551,7.19361,36.9363
2.04,1.17947,2.12124,7.3086,38.6105
2.06,1.23378,2.19743,7.42579,40.3331
2.08,1.29067,2.27376,7.54516,42.1047
2.1,1.35008,2.35015,7.66672,43.9263
2.12,1.41191,2.42665,7.79047,45.7992
2.14,1.47611,2.50321,7.91642,47.7245
2.16,1.5426,2.57974,8.04456,49.703
2.18,1.61132,2.65641,8.17491,51.7365
2.2,2.56781,2.22809,6.54774,35.701
2.22,2.66284,2.28188,6.65158,37.1498
2.24,2.75946,2.33589,6.75725,38.6309
2.26,2.85767,2.39018,6.86478,40.1456
2.28,2.95745,2.44467,6.97416,41.6945
2.3,3.05881,2.49932,7.08539,43.2784
2.32,3.16172,2.55403,7.19849,44.8982
2.34,3.26613,2.60876,7.31344,46.554
2.36,3.37206,2.66357,7.43025,48.247
2.38,3.47949,2.71848,7.54893,49.9782
2.4,4.16946,3.84665,6.07623,35.2511
2.42,4.27739,3.9392,6.17147,36.5439
2.44,4.38664,4.0328,6.26828,37.8591
2.46,4.4972,4.12734,6.36666,39.1973
2.48,4.60904,4.22268,6.46662,40.5593
2.5,4.72214,4.31863,6.56816,41.946
2.52,4.83649,4.41523,6.67129,43.3578
2.54,4.95207,4.51229,6.776,44.7956
2.56,5.06886,4.60992,6.8823,46.2597
2.58,5.18684,4.70817,6.99019,47.7504
2.6,3.24074,1.65879,5.66161,34.2221
2.62,3.3402,1.68202,5.7489,35.5711
2.64,3.44112,1.70519,5.83755,36.9446
2.66,3.54345,1.72821,5.92755,38.3437
2.68,3.64719,1.75111,6.0189,39.7692
2.7,3.7523,1.77396,6.11162,41.2217
2.72,3.85876,1.79659,6.20569,42.7024
2.74,3.96655,1.8192,6.30112,44.2117
2.76,4.07563,1.84174,6.39793,45.7505
2.78,4.18599,1.86419,6.4961,47.3195
2.8,3.39126,1.83984,5.298,34.6251
2.82,3.50528,1.86621,5.37812,36.0787
2.84,3.62059,1.89294,5.45941,37.5709
2.86,3.73717,1.92002,5.54187,39.1029
2.88,3.85499,1.94744,5.62551,40.6759
2.9,3.97404,1.97515,5.71032,42.2905
2.92,4.09429,2.00313,5.79632,43.9478
2.94,4.21573,2.03139,5.8835,45.6489
2.96,4.33834,2.05992,5.97186,47.3949
2.98,4.4621,2.08862,6.06141,49.1869
3,2.97102,0.692293,4.97931,35.4306
3.02,3.07735,0.717533,5.05303,36.812
3.04,3.18503,0.745063,5.12778,38.2274
3.06,3.29401,0.774568,5.20355,39.6774
3.08,3.40427,0.8057,5.28035,41.1633
3.1,3.51578,0.83843,5.35819,42.6862
3.12,3.62851,0.872585,5.43706,44.2476
3.14,3.74243,0.907877,5.51696,45.848
3.16,3.85752,0.944392,5.59791,47.4892
3.18,3.97375,0.981822,5.6799,49.1718
3.2,2.85612,1.74088,4.69978,36.1996
3.22,2.96812,1.79645,4.76785,37.6997
3.24,3.08129,1.85257,4.83683,39.2416
3.26,3.19562,1.90906,4.90671,40.8263
3.28,3.31108,1.96628,4.97751,42.4558
3.3,3.42766,2.02398,5.04922,44.131
3.32,3.54532,2.08212,5.12184,45.8531
3.34,3.66405,2.14059,5.19539,47.6233
3.36,3.78381,2.19945,5.26986,49.4429
3.38,3.90458,2.2588,5.34525,51.3136
3.4,3.02734,2.17737,4.45425,36.5426
3.42,3.12939,2.23668,4.51735,37.9229
3.44,3.2328,2.29607,4.58127,39.3323
3.46,3.33754,2.35572,4.64599,40.7725
3.48,3.44355,2.41549,4.71153,42.244
3.5,3.55079,2.4752,4.77789,43.7478
3.52,3.65923,2.53515,4.84507,45.2851
3.54,3.76884,2.59526,4.91308,46.8571
3.56,3.87957,2.65546,4.9819,48.4646
3.58,3.99139,2.71552,5.05156,50.1082
3.6,3.37538,2.02323,4.23818,36.3992
3.62,3.47891,2.06214,4.29694,37.7925
3.64,3.58371,2.10119,4.35643,39.2126
3.66,3.68973,2.1404,4.41665,40.6604
3.68,3.79693,2.17981,4.47761,42.137
3.7,3.90529,2.21918,4.53931,43.643
3.72,4.01475,2.25858,4.60175,45.1792
3.74,4.12531,2.29807,4.66493,46.7466
3.76,4.23692,2.3376,4.72887,48.346
3.78,4.34957,2.37711,4.79355,49.978
3.8,4.29308,2.00306,4.04769,35.8847
3.82,4.40375,2.06334,4.10265,37.2019
3.84,4.51544,2.12436,4.15828,38.5409
3.86,4.62813,2.18604,4.21458,39.9024
3.88,4.74179,2.24833,4.27155,41.2868
3.9,4.85642,2.31112,4.32919,42.6951
3.92,4.97197,2.37441,4.38752,44.1277
3.94,5.08845,2.43811,4.44653,45.5854
3.96,5.20582,2.50217,4.50622,47.0689
3.98,5.32408,2.56654,4.56659,48.5789
4,4.51364,1.37498,3.87945,34.8376
4.02,4.63145,1.43134,3.9311,36.181
4.04,4.75021,1.48788,3.98337,37.5478
4.06,4.86989,1.54456,4.03625,38.9387
4.08,4.9905,1.60134,4.08976,40.3543
4.1,5.11201,1.65817,4.14389,41.7955
4.12,5.23441,1.71491,4.19864,43.263
