time,euler_pos,rk4_pos,exact_pos,euler_energy,rk4_energy
0.00000000,1.00000000,1.00000000,1.00000000,2.00000000,2.00000000
0.10000000,1.00000000,0.98006667,0.98006658,2.08000000,1.99999823
0.20000000,0.96000000,0.92106223,0.92106099,2.16320000,1.99999646
0.30000000,0.88000000,0.82533897,0.82533561,2.24972800,1.99999469
0.40000000,0.76160000,0.69671302,0.69670671,2.33971712,1.99999292
0.50000000,0.60800000,0.54031217,0.54030231,2.43330580,1.99999116
0.60000000,0.42393600,0.36237149,0.36235775,2.53063804,1.99998939
0.70000000,0.21555200,0.16998475,0.16996714,2.63186356,1.99998762
0.80000000,-0.00978944,-0.02917840,-0.02919952,2.73713810,1.99998585
0.90000000,-0.24375296,-0.22717815,-0.22720209,2.84662362,1.99998408
1.00000000,-0.47732490,-0.41612109,-0.41614684,2.96048857,1.99998231
1.10000000,-0.70114673,-0.58847488,-0.58850112,3.07890811,1.99998054
1.20000000,-0.90587555,-0.73736850,-0.73739372,3.20206444,1.99997877
1.30000000,-1.08255851,-0.85686621,-0.85688875,3.33014701,1.99997700
1.40000000,-1.22300645,-0.94220418,-0.94222234,3.46335290,1.99997524
1.50000000,-1.32015205,-0.98998036,-0.98999250,3.60188701,1.99997347
1.60000000,-1.36837738,-0.99829017,-0.99829478,3.74596249,1.99997170
1.70000000,-1.36379664,-0.96680234,-0.96679819,3.89580099,1.99996993
1.80000000,-1.30448080,-0.89677222,-0.89675842,4.05163303,1.99996816
1.90000000,-1.19061310,-0.79099162,-0.79096771,4.21369835,1.99996639
2.00000000,-1.02456616,-0.65367763,-0.65364362,4.38224629,1.99996462
2.10000000,-0.81089470,-0.49030438,-0.49026082,4.55753614,1.99996285
2.20000000,-0.55624059,-0.30738491,-0.30733287,4.73983758,1.99996108
2.30000000,-0.26915070,-0.11221146,-0.11215253,4.92943109,1.99995932
2.40000000,0.04018882,0.08743521,0.08749898,5.12660833,1.99995755
2.50000000,0.36029437,0.28359603,0.28366219,5.33167266,1.99995578
2.60000000,0.67879236,0.46845090,0.46851667,5.54493957,1.99995401
2.70000000,0.98287858,0.63463045,0.63469288,5.76673715,1.99995224
2.80000000,1.25981311,0.77550981,0.77556588,5.99740664,1.99995047
2.90000000,1.49743249,0.88547274,0.88551952,6.23730290,1.99994870
3.00000000,1.68465934,0.96013551,0.96017029,6.48679502,1.99994693
3.10000000,1.81198890,0.99652166,0.99654210,6.74626682,1.99994517
3.20000000,1.87193209,0.99318066,0.99318492,7.01611749,1.99994340
3.30000000,1.85939571,0.95024575,0.95023259,7.29676219,1.99994163
3.40000000,1.77198206,0.86942858,0.86939749,7.58863268,1.99993986
3.50000000,1.61019257,0.75395103,0.75390225,7.89217799,1.99993809
3.60000000,1.37752381,0.60841673,0.60835131,8.20786511,1.99993632
3.70000000,1.08044734,0.43862756,0.43854733,8.53617971,1.99993455
3.80000000,0.72826992,0.25135230,0.25125984,8.87762690,1.99993278
3.90000000,0.33287460,0.05405686,0.05395542,9.23273198,1.99993101
4.00000000,-0.09165151,-0.14539343,-0.14550003,9.60204126,1.99992925
4.10000000,-0.52949261,-0.33904732,-0.33915486,9.98612291,1.99992748
4.20000000,-0.96366764,-0.51918466,-0.51928865,10.38556782,1.99992571
4.30000000,-1.37666297,-0.67862413,-0.67872005,10.80099054,1.99992394
4.40000000,-1.75111160,-0.81100958,-0.81109301,11.23303016,1.99992217
4.50000000,-2.07049370,-0.91106338,-0.91113026,11.68235136,1.99992040
4.60000000,-2.31983135,-0.97479683,-0.97484362,12.14964542,1.99991863
4.70000000,-2.48634924,-0.99966920,-0.99969304,12.63563123,1.99991686
4.80000000,-2.56007388,-0.98468894,-0.98468786,13.14105648,1.99991510
4.90000000,-2.53434455,-0.93045331,-0.93042627,13.66669874,1.99991333
5.00000000,-2.40621227,-0.83912447,-0.83907153,14.21336669,1.99991156
5.10000000,-2.17670620,-0.71434336,-0.71426565,14.78190136,1.99990979
5.20000000,-1.85095164,-0.56108451,-0.56098426,15.37317741,1.99990802
5.30000000,-1.43812884,-0.38545771,-0.38533819,15.98810451,1.99990625
5.40000000,-0.95126797,-0.19446450,-0.19432991,16.62762869,1.99990448
5.50000000,-0.40688194,0.00428102,0.00442570,17.29273384,1.99990271
5.60000000,0.17555480,0.20285570,0.20300486,17.98444319,1.99990094
5.70000000,0.77426682,0.39334320,0.39349087,18.70382092,1.99989918
5.80000000,1.36595665,0.56814960,0.56828963,19.45197376,1.99989741
5.90000000,1.92667581,0.72030612,0.72043248,20.23005271,1.99989564
6.00000000,2.43275670,0.84374693,0.84385396,21.03925482,1.99989387
6.10000000,2.86177056,0.93355101,0.93363364,21.88082501,1.99989210
6.20000000,3.19347415,0.98613826,0.98619230,22.75605801,1.99989033
6.30000000,3.41070691,0.99941230,0.99943459,23.66630033,1.99988856
6.40000000,3.50020072,0.97284397,0.97283257,24.61295234,1.99988679
6.50000000,3.45326624,0.90749247,0.90744678,25.59747044,1.99988503
6.60000000,3.26632374,0.80596314,0.80588396,26.62136925,1.99988326
6.70000000,2.94125059,0.67230355,0.67219308,27.68622402,1.99988149
6.80000000,2.48552448,0.51184217,0.51170399,28.79367298,1.99987972
6.90000000,1.91214836,0.33097594,0.33081488,29.94541990,1.99987795
7.00000000,1.23935125,0.13691526,0.13673722,31.14323670,1.99987618
7.10000000,0.49006821,-0.06260349,-0.06279172,32.38896617,1.99987441
7.20000000,-0.30878888,-0.25962632,-0.25981736,33.68452482,1.99987264
