time,numerical_0,exact_0
0.00000000,1.00000000,1.00000000
0.01000000,0.98019867,0.98019867
0.02000000,0.96078944,0.96078944
0.03000000,0.94176453,0.94176453
0.04000000,0.92311635,0.92311635
0.05000000,0.90483742,0.90483742
0.06000000,0.88692044,0.88692044
0.07000000,0.86935824,0.86935824
0.08000000,0.85214379,0.85214379
0.09000000,0.83527021,0.83527021
0.10000000,0.81873075,0.81873075
0.11000000,0.80251880,0.80251880
0.12000000,0.78662786,0.78662786
0.13000000,0.77105159,0.77105159
0.14000000,0.75578374,0.75578374
0.15000000,0.74081822,0.74081822
0.16000000,0.72614904,0.72614904
0.17000000,0.71177032,0.71177032
0.18000000,0.69767633,0.69767633
0.19000000,0.68386141,0.68386141
0.20000000,0.67032005,0.67032005
0.21000000,0.65704682,0.65704682
0.22000000,0.64403642,0.64403642
0.23000000,0.63128365,0.63128365
0.24000000,0.61878339,0.61878339
0.25000000,0.60653066,0.60653066
0.26000000,0.59452055,0.59452055
0.27000000,0.58274825,0.58274825
0.28000000,0.57120906,0.57120906
0.29000000,0.55989837,0.55989837
0.30000000,0.54881164,0.54881164
0.31000000,0.53794444,0.53794444
0.32000000,0.52729242,0.52729242
0.33000000,0.51685133,0.51685133
0.34000000,0.50661699,0.50661699
0.35000000,0.49658530,0.49658530
0.36000000,0.48675226,0.48675226
0.37000000,0.47711392,0.47711392
0.38000000,0.46766643,0.46766643
0.39000000,0.45840601,0.45840601
0.40000000,0.44932896,0.44932896
0.41000000,0.44043165,0.44043165
0.42000000,0.43171052,0.43171052
0.43000000,0.42316208,0.42316208
0.44000000,0.41478291,0.41478291
0.45000000,0.40656966,0.40656966
0.46000000,0.39851904,0.39851904
0.47000000,0.39062784,0.39062784
0.48000000,0.38289289,0.38289289
0.49000000,0.37531110,0.37531110
0.50000000,0.36787944,0.36787944
0.51000000,0.36059494,0.36059494
0.52000000,0.35345468,0.35345468
0.53000000,0.34645581,0.34645581
0.54000000,0.33959553,0.33959553
0.55000000,0.33287108,0.33287108
0.56000000,0.32627980,0.32627979
0.57000000,0.31981902,0.31981902
0.58000000,0.31348618,0.31348618
0.59000000,0.30727874,0.30727874
0.60000000,0.30119421,0.30119421
0.61000000,0.29523017,0.29523017
0.62000000,0.28938422,0.28938422
0.63000000,0.28365403,0.28365403
0.64000000,0.27803730,0.27803730
0.65000000,0.27253179,0.27253179
