t,x,y,v,steer_deg,accel
0,0,0,8,-0.04297,-0
0.02,0.113147,0.113128,8,-0.0210614,-0
0.04,0.226297,0.226251,8,-0.0071663,-0
0.06,0.339449,0.339374,8,-0.0958926,-0
0.08,0.452607,0.45249,8,-0.0680728,-0
0.1,0.565774,0.565596,8,-0.0473925,-0
0.12,0.678949,0.678696,8,-0.0322554,-0
0.14,0.792128,0.791791,8,-0.292076,-0
0.16,0.905326,0.904867,8,-0.199002,-0
0.18,1.01855,1.01791,8,-0.131926,-0
0.2,1.1318,1.13094,8,-0.0844304,-0
0.22,1.24506,1.24396,8,-0.445509,-0
0.24,1.35835,1.35694,8,-0.301398,-0
0.26,1.47168,1.46988,8,-0.198038,-0
0.28,1.58504,1.58279,8,-0.125235,-0
0.3,1.69842,1.69569,8,-0.58598,-0
0.32,1.81185,1.80854,8,-0.397484,-0
0.34,1.92533,1.92133,8,-0.262051,-0
0.36,2.03885,2.03408,8,-0.166471,-0
0.38,2.15239,2.14681,8,-0.723059,-0
0.4,2.26598,2.25949,8,-0.493748,-0
0.42,2.37965,2.3721,8,-0.328245,-0
0.44,2.49337,2.48465,8,-0.210856,-0
0.46,2.60711,2.59718,8,-0.859823,-0
0.48,2.72092,2.70964,8,-0.591874,-0
0.5,2.83481,2.82202,8,-0.397393,-0
0.52,2.94876,2.93434,8,-0.258594,-0
0.54,3.06275,3.04662,8,-0.997852,-0
0.56,3.17681,3.15882,8,-0.692459,-0
0.58,3.29097,3.27093,8,-0.469494,-0
0.6,3.40519,3.38296,8,-0.309348,-0
0.62,3.51947,3.49496,8,-0.196366,-0
0.64,3.63377,3.60692,8,-1.27649,-0
0.66,3.74815,3.71879,8,-0.849102,-0
0.68,3.86266,3.83054,8,-0.545905,-0
0.7,3.97725,3.94221,8,-0.334936,-0
0.72,4.09189,4.05382,8,-1.48639,-0
0.74,4.20664,4.16533,8,-0.975698,-0
0.76,4.32152,4.27668,8,-0.61629,-0
0.78,4.4365,4.38795,8,-0.36848,-0
0.8,4.55154,4.49916,8,-1.63891,-0
0.82,4.66669,4.61024,8,-1.07115,-0
0.84,4.782,4.72117,8,-0.67259,-0
0.86,4.8974,4.83199,8,-0.39859,-0
0.88,5.01287,4.94275,8,-1.8028,-0
0.9,5.12846,5.05337,8,-1.1776,-0
0.92,5.24423,5.16382,8,-0.738906,-0
0.94,5.3601,5.27415,8,-0.437423,-0
0.96,5.47604,5.38441,8,-1.98602,-0
0.98,5.59212,5.49453,8,-1.29674,-0
1,5.70839,5.60445,8,-0.813229,-0
1.02,5.82477,5.71424,8,-0.481045,-0
