t,x,y,v,steer_deg,accel
0,0,0,8,-0.04297,0
0.02,0.113147,0.113128,8,-30.023,0
0.04,0.22821,0.224293,8,-30.023,0
0.06,0.347013,0.331454,8,-30.023,0
0.08,0.469415,0.434485,8,-30.023,0
0.1,0.595272,0.533264,8,-30.023,0
0.12,0.724438,0.627676,8,-30.023,0
0.14,0.856761,0.717611,8,-30.023,0
0.16,0.992085,0.802962,8,-30.023,0
0.18,1.13025,0.88363,8,-30.023,0
0.2,1.2711,0.95952,8,-30.023,0
0.22,1.41446,1.03054,8,-30.023,0
0.24,1.56018,1.09662,8,-30.023,0
0.26,1.70806,1.15766,8,-30.023,0
0.28,1.85796,1.21361,8,-30.023,0
0.3,2.00968,1.26439,8,-30.023,0
0.32,2.16304,1.30994,8,-30.023,0
0.34,2.31788,1.35022,8,-30.023,0
0.36,2.47401,1.38518,8,-30.023,0
0.38,2.63124,1.41477,8,-30.023,0
0.4,2.7894,1.43895,8,-30.023,0
0.42,2.94829,1.45771,8,-30.023,0
0.44,3.10772,1.47102,8,-30.023,0
0.46,3.26752,1.47886,8,-30.023,0
0.48,3.4275,1.48122,8,-30.023,0
0.5,3.58746,1.47811,8,-30.023,0
0.52,3.74722,1.46952,8,-30.023,0
0.54,3.9066,1.45546,8,29.4937,0
0.56,4.06596,1.44135,8,29.4937,0
0.58,4.22572,1.43259,8,29.4937,0
0.6,4.38567,1.42918,8,29.4937,0
0.62,4.54565,1.43114,8,29.4937,0
0.64,4.70548,1.43846,8,29.3997,0
0.66,4.86497,1.45112,8,-30.023,0
0.68,5.02447,1.46371,8,-30.023,0
0.7,5.1843,1.47083,8,-30.023,0
0.72,5.34428,1.47248,8,29.3997,0
0.74,5.50427,1.47406,8,29.3997,0
0.76,5.66411,1.48098,8,29.3029,0
0.78,5.82363,1.49322,8,29.3029,0
0.8,5.98266,1.51075,8,29.3029,0
0.82,6.14102,1.53357,8,-30.023,0
0.84,6.29939,1.55631,8,-30.023,0
0.86,6.45844,1.57361,8,-30.023,0
0.88,6.61799,1.58546,8,29.2028,0
0.9,6.77755,1.59722,8,29.2028,0
0.92,6.93664,1.61425,8,29.2028,0
0.94,7.09507,1.63654,8,29.2028,0
