idx,s,kappa,v_ref,K00,K01,K10,K12
0,0,-0.000222188,8,7.74814,7.98402,0,3.06386
1,0.533111,-0.000444639,8,7.74814,7.98402,0,3.06386
2,1.06601,-0.000890508,8,7.74814,7.98402,0,3.06386
3,1.59849,-0.00133884,8,7.74814,7.98402,0,3.06386
4,2.13034,-0.00179089,8,7.74814,7.98402,0,3.06386
5,2.66135,-0.00224792,8,7.74814,7.98402,0,3.06386
6,3.19131,-0.00271123,8,7.74814,7.98402,0,3.06386
7,3.72002,-0.00318214,8,7.74814,7.98402,0,3.06386
8,4.24726,-0.00366201,8,7.74814,7.98402,0,3.06386
9,4.77284,-0.00415225,8,7.74814,7.98402,0,3.06386
10,5.29655,-0.00465434,8,7.74814,7.98402,0,3.06386
11,5.81819,-0.00516978,8,7.74814,7.98402,0,3.06386
12,6.33755,-0.00570018,8,7.74814,7.98402,0,3.06386
13,6.85446,-0.00624721,8,7.74814,7.98402,0,3.06386
14,7.36869,-0.00681264,8,7.74814,7.98402,0,3.06386
15,7.88008,-0.0073983,8,7.74814,7.98402,0,3.06386
16,8.38843,-0.00800618,8,7.74814,7.98402,0,3.06386
17,8.89354,-0.00863836,8,7.74814,7.98402,0,3.06386
18,9.39525,-0.00929704,8,7.74814,7.98402,0,3.06386
19,9.89336,-0.00998458,8,7.74814,7.98402,0,3.06386
20,10.3877,-0.0107035,8,7.74814,7.98402,0,3.06386
21,10.8781,-0.0114565,8,7.74814,7.98402,0,3.06386
22,11.3644,-0.0122463,8,7.74814,7.98402,0,3.06386
23,11.8465,-0.0130762,8,7.74814,7.98402,0,3.06386
24,12.3241,-0.0139493,8,7.74814,7.98402,0,3.06386
25,12.7972,-0.0148692,8,7.74814,7.98402,0,3.06386
26,13.2655,-0.0158396,8,7.74814,7.98402,0,3.06386
27,13.729,-0.0168646,8,7.74814,7.98402,0,3.06386
28,14.1874,-0.0179485,8,7.74814,7.98402,0,3.06386
29,14.6407,-0.0190959,8,7.74814,7.98402,0,3.06386
30,15.0888,-0.0203118,8,7.74814,7.98402,0,3.06386
31,15.5315,-0.0216015,8,7.74814,7.98402,0,3.06386
32,15.9687,-0.0229705,8,7.74814,7.98402,0,3.06386
33,16.4003,-0.0244251,8,7.74814,7.98402,0,3.06386
34,16.8263,-0.0259715,8,7.74814,7.98402,0,3.06386
35,17.2465,-0.0276167,8,7.74814,7.98402,0,3.06386
36,17.6608,-0.0293678,8,7.74814,7.98402,0,3.06386
37,18.0692,-0.0312324,8,7.74814,7.98402,0,3.06386
38,18.4716,-0.0332185,8,7.74814,7.98402,0,3.06386
39,18.8679,-0.0353345,8,7.74814,7.98402,0,3.06386
40,19.2582,-0.037589,8,7.74814,7.98402,0,3.06386
