time,numerical_0,numerical_1,exact_0,exact_1
0.00000000,1.00000000,0.00000000,1.00000000,-0.00000000
0.01000000,0.99980001,-0.03999733,0.99980001,-0.03999733
0.02000000,0.99920011,-0.07997867,0.99920011,-0.07997867
0.03000000,0.99820054,-0.11992801,0.99820054,-0.11992801
0.04000000,0.99680171,-0.15982939,0.99680171,-0.15982939
0.05000000,0.99500417,-0.19966683,0.99500417,-0.19966683
0.06000000,0.99280864,-0.23942441,0.99280864,-0.23942441
0.07000000,0.99021600,-0.27908623,0.99021600,-0.27908623
0.08000000,0.98722728,-0.31863641,0.98722728,-0.31863641
0.09000000,0.98384369,-0.35805915,0.98384369,-0.35805915
0.10000000,0.98006658,-0.39733866,0.98006658,-0.39733866
0.11000000,0.97589745,-0.43645925,0.97589745,-0.43645925
0.12000000,0.97133797,-0.47540525,0.97133797,-0.47540525
0.13000000,0.96638998,-0.51416110,0.96638998,-0.51416110
0.14000000,0.96105544,-0.55271130,0.96105544,-0.55271130
0.15000000,0.95533649,-0.59104041,0.95533649,-0.59104041
0.16000000,0.94923542,-0.62913312,0.94923542,-0.62913312
0.17000000,0.94275467,-0.66697418,0.94275467,-0.66697418
0.18000000,0.93589682,-0.70454847,0.93589682,-0.70454847
0.19000000,0.92866464,-0.74184094,0.92866464,-0.74184094
0.20000000,0.92106099,-0.77883668,0.92106099,-0.77883668
0.21000000,0.91308894,-0.81552091,0.91308894,-0.81552091
0.22000000,0.90475166,-0.85187893,0.90475166,-0.85187893
0.23000000,0.89605250,-0.88789621,0.89605250,-0.88789621
0.24000000,0.88699492,-0.92355835,0.88699492,-0.92355835
0.25000000,0.87758256,-0.95885108,0.87758256,-0.95885108
0.26000000,0.86781918,-0.99376027,0.86781918,-0.99376028
0.27000000,0.85770868,-1.02827198,0.85770868,-1.02827198
0.28000000,0.84725511,-1.06237239,0.84725511,-1.06237240
0.29000000,0.83646265,-1.09604787,0.83646265,-1.09604787
0.30000000,0.82533562,-1.12928495,0.82533561,-1.12928495
0.31000000,0.81387846,-1.16207032,0.81387846,-1.16207032
0.32000000,0.80209576,-1.19439088,0.80209576,-1.19439088
0.33000000,0.78999223,-1.22623370,0.78999223,-1.22623370
0.34000000,0.77757272,-1.25758605,0.77757272,-1.25758605
0.35000000,0.76484219,-1.28843537,0.76484219,-1.28843537
0.36000000,0.75180573,-1.31876934,0.75180573,-1.31876934
0.37000000,0.73846856,-1.34857582,0.73846856,-1.34857582
0.38000000,0.72483601,-1.37784289,0.72483601,-1.37784289
0.39000000,0.71091354,-1.40655884,0.71091354,-1.40655884
0.40000000,0.69670671,-1.43471218,0.69670671,-1.43471218
0.41000000,0.68222121,-1.46229166,0.68222121,-1.46229166
0.42000000,0.66746283,-1.48928624,0.66746283,-1.48928624
0.43000000,0.65243747,-1.51568512,0.65243747,-1.51568513
0.44000000,0.63715115,-1.54147776,0.63715114,-1.54147776
0.45000000,0.62160997,-1.56665382,0.62160997,-1.56665382
0.46000000,0.60582016,-1.59120324,0.60582016,-1.59120324
0.47000000,0.58978803,-1.61511620,0.58978803,-1.61511620
0.48000000,0.57351999,-1.63838314,0.57351999,-1.63838314
0.49000000,0.55702255,-1.66099474,0.55702255,-1.66099474
0.50000000,0.54030231,-1.68294197,0.54030231,-1.68294197
0.51000000,0.52336595,-1.70421604,0.52336595,-1.70421604
0.52000000,0.50622026,-1.72480845,0.50622026,-1.72480845
0.53000000,0.48887208,-1.74471096,0.48887208,-1.74471096
0.54000000,0.47132837,-1.76391561,0.47132836,-1.76391561
0.55000000,0.45359612,-1.78241472,0.45359612,-1.78241472
0.56000000,0.43568245,-1.80020088,0.43568245,-1.80020088
0.57000000,0.41759451,-1.81726699,0.41759450,-1.81726699
0.58000000,0.39933953,-1.83360622,0.39933953,-1.83360622
0.59000000,0.38092483,-1.84921202,0.38092482,-1.84921202
0.60000000,0.36235776,-1.86407817,0.36235775,-1.86407817
0.61000000,0.34364575,-1.87819871,0.34364575,-1.87819871
0.62000000,0.32479629,-1.89156800,0.32479628,-1.89156800
0.63000000,0.30581691,-1.90418068,0.30581691,-1.90418068
0.64000000,0.28671521,-1.91603172,0.28671521,-1.91603172
0.65000000,0.26749883,-1.92711637,0.26749883,-1.92711637
0.66000000,0.24817545,-1.93743020,0.24817545,-1.93743020
0.67000000,0.22875281,-1.94696908,0.22875281,-1.94696908
0.68000000,0.20923867,-1.95572920,0.20923867,-1.95572920
0.69000000,0.18964083,-1.96370706,0.18964083,-1.96370706
0.70000000,0.16996714,-1.97089946,0.16996714,-1.97089946
0.71000000,0.15022547,-1.97730353,0.15022547,-1.97730353
0.72000000,0.13042371,-1.98291670,0.13042371,-1.98291670
0.73000000,0.11056978,-1.98773673,0.11056978,-1.98773673
0.74000000,0.09067163,-1.99176169,0.09067162,-1.99176169
