t,innov_x,innov_y
0,-1.64948,1.54629
0.2,2.6472,2.96239
0.4,-2.70272,-2.88204
0.6,-4.96185,-2.80569
0.8,4.35166,-2.38869
1,2.9296,0.966628
1.2,1.94845,-0.305538
1.4,-0.377187,0.717501
1.6,2.04239,-1.28836
1.8,0.796046,1.61447
2,3.10293,0.987198
2.2,-4.06417,6.86766
2.4,-6.74026,0.66456
2.6,5.70887,-6.72983
2.8,4.13215,-0.615333
3,-2.84218,-4.76171
3.2,1.3362,-1.1598
3.4,-4.89842,1.12962
3.6,0.734269,1.99292
3.8,1.78093,4.31328
4,3.64,-2.64477
4.2,-2.18624,1.69931
4.4,3.12228,4.82751
4.6,-1.10185,-1.56164
4.8,-1.02833,-6.29031
5,-6.34498,-3.17031
5.2,-1.06383,-6.24323
5.4,2.43445,-3.81869
5.6,-3.34308,-3.27666
5.8,6.02002,3.87225
6,2.09586,1.1832
6.2,0.276917,1.38642
6.4,-3.19885,4.28615
6.6,-2.67392,-1.80573
6.8,2.97364,5.17417
7,-7.15605,2.62037
7.2,-4.81748,2.47867
7.4,1.89729,-0.291984
7.6,2.62767,-2.38115
7.8,-0.550796,-3.49523
8,4.04226,1.95211
8.2,7.72951,0.0583922
8.4,-0.796134,-3.8222
8.6,-7.05065,2.07743
8.8,-0.295803,1.69341
9,1.53142,0.225778
9.2,-5.94209,1.72278
9.4,1.47235,-4.95354
9.6,-0.25084,-3.68566
9.8,-0.388404,5.08735
10,-0.530057,-1.68809
10.2,-0.383651,3.38347
10.4,-3.86746,-2.78568
10.6,2.09507,-1.72192
10.8,6.42782,2.82385
11,-5.63137,-0.933028
11.2,-2.40027,-0.256146
11.4,-6.24476,4.86313
11.6,3.85174,-2.54322
11.8,5.41828,-4.65769
12,-2.21178,1.97878
12.2,1.13462,0.613997
12.4,0.67542,-1.55668
12.6,4.86574,2.7985
12.8,-9.78602,2.06951
13,9.68547,0.0492089
13.2,-0.986195,-6.86564
13.4,2.7633,-3.39722
13.6,1.04981,0.0451894
13.8,3.37576,-0.819091
14,-3.16046,1.82272
14.2,5.33459,0.752135
14.4,-4.62384,2.31507
14.6,0.837466,-4.14508
14.8,-3.08558,4.13422
15,1.0697,-8.17349
15.2,2.06878,6.23301
15.4,-3.2385,3.20643
15.6,6.19332,1.52378
15.8,-4.47056,-2.58374
16,-0.314566,1.41538
16.2,0.0694798,1.10937
16.4,-0.580966,-0.497341
16.6,3.12986,-4.27277
16.8,-1.07132,1.06246
17,1.86079,-0.199089
