t,x,y,v,theta,cte,steer_deg,accel
0,2.5,2.5,7.83446,0.216363,0,2.44086,0
0.02,2.65299,2.53383,7.83446,0.218837,0.156689,30.023,0
0.04,2.80535,2.5704,7.83446,0.252374,0.193266,30.023,-0.598549
0.06,2.95627,2.61203,7.82249,0.285885,0.0386358,30.023,-0.574798
0.08,3.1055,2.65862,7.81099,0.319345,0.121438,30.023,-0.55184
0.1,3.25287,2.7101,7.79996,0.352757,0.234011,30.023,-1.69078
0.12,3.39802,2.7663,7.76614,0.386074,0.0975071,30.023,-1.62355
0.14,3.54062,2.82703,7.73367,0.419248,0.115457,30.023,-1.5587
0.16,3.68055,2.89219,7.7025,0.452287,0.256149,30.023,-1.49644
0.18,3.81771,2.96164,7.67257,0.485194,0.186421,30.023,-2.92719
0.2,3.95174,3.03514,7.61402,0.517912,0.179619,30.023,-2.81066
0.22,4.08232,3.11237,7.55781,0.550385,0.278622,30.023,-2.6984
0.24,4.2094,3.1932,7.50384,0.582622,0.299967,30.023,-4.0011
0.26,4.33272,3.27731,7.42382,0.614571,0.290104,30.023,-3.84166
0.28,4.45203,3.36438,7.34699,0.646186,0.353454,30.023,-3.68821
0.3,4.56736,3.45422,7.27322,0.677477,0.430056,30.023,-4.34963
0.32,4.6786,3.54659,7.18623,0.708425,0.420915,30.023,-4.17611
0.34,4.78567,3.6412,7.10271,0.739008,0.462849,30.023,-4.0093
0.36,4.88862,3.73791,7.02252,0.769241,0.542726,30.023,-3.84916
0.38,4.98751,3.83655,6.94554,0.799137,0.559157,30.023,-3.57227
0.4,5.0824,3.93702,6.87409,0.828715,0.587674,30.023,-3.42956
0.42,5.17336,4.03918,6.8055,0.857994,0.647928,30.023,-3.29257
0.44,5.26044,4.14293,6.73965,0.886985,0.698345,30.023,-2.11558
0.46,5.34382,4.24829,6.69734,0.915744,0.717103,30.023,-2.0308
0.48,5.42365,4.35534,6.65672,0.944326,0.762707,30.023,-1.94969
0.5,5.49994,4.46397,6.61773,0.972737,0.830273,30.023,-1.87181
0.52,5.57269,4.57408,6.58029,1.00099,0.859718,30.023,-0.487887
0.54,5.64207,4.68579,6.57054,1.02913,0.894484,30.023,-0.468056
0.56,5.70818,4.79925,6.56117,1.05724,0.949585,30.023,-0.449361
0.58,5.771,4.91435,6.55219,1.08531,1.02161,30.023,-0.431412
0.6,5.83048,5.03102,6.54356,1.11333,1.05995,30.023,0.227743
0.62,5.88665,5.14927,6.54811,1.14135,1.10649,30.023,0.218814
0.64,5.93951,5.26913,6.55249,1.16939,1.16915,30.023,0.210074
0.66,5.98903,5.3905,6.55669,1.19745,1.24548,30.023,0.201684
