x,y,kappa,v_ref
2.5,2.5,0.0157877,7.83446
2.99477,2.60875,0.0317436,7.53467
3.4864,2.7251,0.0641671,6.95319
3.97174,2.85663,0.0975937,6.20666
4.44765,3.01095,0.131569,5.50021
4.91099,3.19564,0.163028,5.09516
5.35862,3.41831,0.172803,5.15684
5.78788,3.68522,0.13933,5.68047
6.20162,3.98793,0.0757146,6.33617
6.60617,4.30867,0.00686947,6.65768
7.0079,4.62952,-0.0633339,6.31049
7.41318,4.93259,-0.141405,5.45047
7.8284,5.19997,-0.230315,4.50813
8.25993,5.41376,-0.304288,3.92306
8.71394,5.55662,-0.308122,3.86511
9.19118,5.62727,-0.239934,4.34306
9.68642,5.64199,-0.154912,5.22657
10.1941,5.61799,-0.0810594,6.25358
10.7088,5.57244,-0.0162316,7.10363
11.2249,5.52254,0.0365791,7.58663
11.737,5.48512,0.0621924,7.77065
12.2429,5.46692,0.0577151,7.83416
12.744,5.46365,0.0403107,7.89739
13.2419,5.47047,0.021194,7.95792
13.738,5.4825,0.00160918,7.99212
14.2339,5.4949,-0.0145125,8
14.7311,5.50292,-0.0201532,8
15.2302,5.50507,-0.0151302,8
15.7305,5.5034,-0.00629895,8
16.2314,5.50015,0.0026288,8
16.7323,5.49756,0.0114668,8
17.2325,5.49787,0.0172887,8
17.7315,5.5032,0.0140343,8
18.2293,5.51281,0.00120151,8
18.727,5.52276,-0.0151811,8
19.2254,5.52894,-0.0314737,8
19.7258,5.52727,-0.0468889,8
20.2289,5.51364,-0.0528681,7.97783
20.7359,5.48427,-0.0338976,7.83505
21.2456,5.44368,0.00979806,7.43571
21.7547,5.40557,0.0638911,6.6911
22.2598,5.38408,0.12264,5.73731
22.7576,5.39337,0.186738,4.83135
23.2447,5.44757,0.241252,4.23708
23.7177,5.56046,0.255469,4.02109
24.1749,5.73522,0.227014,4.13636
24.6163,5.96346,0.185206,4.4837
25.042,6.23616,0.14724,5.00968
25.4522,6.54432,0.114774,5.67295
25.847,6.87896,0.0871364,6.40758
26.2265,7.23105,0.0635324,7.08979
26.5908,7.59163,0.0437883,7.59515
26.9416,7.95416,0.0266309,7.87424
27.2832,8.31682,0.00967359,7.9786
27.6204,8.67831,-0.00798997,7.99006
27.958,9.03735,-0.0257734,7.93434
28.3007,9.39265,-0.0428969,7.80026
28.6532,9.74291,-0.0585515,7.61767
29.0204,10.0869,-0.0707686,7.49404
29.407,10.4232,-0.0690348,7.52712
29.8164,10.7511,-0.0440407,7.62643
30.2409,11.0738,-0.00443733,7.57111
30.6675,11.3966,0.0388597,7.11695
31.0831,11.7246,0.0864617,6.28673
31.4746,12.0631,0.143465,5.27466
31.8289,12.4172,0.213908,4.37164
32.133,12.7922,0.296785,3.73804
32.3737,13.1933,0.365604,3.44707
32.538,13.6257,0.361933,3.53292
32.6237,14.0902,0.27858,4.04399
32.6473,14.5802,0.177418,4.9439
32.6273,15.0882,0.0935282,6.0166
32.5823,15.6067,0.0233152,6.91649
32.5307,16.1282,-0.0350983,7.42989
32.491,16.6453,-0.0668775,7.61381
32.4732,17.1539,-0.062735,7.69224
32.4719,17.6556,-0.0394088,7.79698
32.4805,18.1529,-0.0126598,7.91267
32.4922,18.648,0.014841,7.98034
32.5003,19.1433,0.0367581,8
32.4979,19.6411,0.0384721,8
32.4837,20.1424,0.0161675,7.94085
32.4651,20.6454,-0.0164312,7.72758
32.4507,21.1484,-0.050264,7.25016
32.4489,21.6495,-0.0853676,6.57526
32.4683,22.1467,-0.118462,5.88343
32.5173,22.6383,-0.138374,5.4094
32.6011,23.1233,-0.139467,5.22404
32.7184,23.6024,-0.130382,5.28453
32.8676,24.0768,-0.118895,5.48317
33.047,24.5473,-0.106486,5.72849
33.2549,25.0149,-0.0946651,5.92943
33.4896,25.4805,-0.0887092,5.99703
33.7496,25.9438,-0.0939376,5.87922
34.0346,26.3975,-0.108683,5.58698
34.3443,26.8327,-0.129717,5.18271
34.6788,27.2405,-0.157347,4.73811
35.0379,27.612,-0.192781,4.30815
35.4216,27.9381,-0.236219,3.93666
35.8297,28.2099,-0.284633,3.67697
36.2622,28.4185,-0.317107,3.60242
36.7189,28.5554,-0.297546,3.81146
37.1973,28.6235,-0.228406,4.38037
37.6925,28.6383,-0.149449,5.27907
38.1996,28.6157,-0.0805083,6.30701
38.7135,28.5718,-0.019749,7.17363
39.2291,28.5226,0.0299615,7.70099
39.7417,28.4838,0.0557179,7.91034
40.2489,28.4622,0.0558309,7.96214
40.7516,28.4551,0.04534,7.97344
41.2504,28.4594,0.0335769,7.9881
41.7464,28.4719,0.0212141,7.99695
