time,velocity_kph,target_kph,command
0.0000,59.9973,60.0000,0.0000
0.0100,59.9950,60.0000,0.0040
0.0200,59.9928,60.0000,0.0070
0.0300,59.9908,60.0000,0.0091
0.0400,59.9889,60.0000,0.0108
0.0500,59.9871,60.0000,0.0120
0.0600,59.9854,60.0000,0.0129
0.0700,59.9837,60.0000,0.0136
0.0800,59.9820,60.0000,0.0141
0.0900,59.9804,60.0000,0.0146
0.1000,59.9788,60.0000,0.0149
0.1100,59.9772,60.0000,0.0152
0.1200,59.9757,60.0000,0.0154
0.1300,59.9741,60.0000,0.0156
0.1400,59.9726,60.0000,0.0158
0.1500,59.9711,60.0000,0.0159
0.1600,59.9696,60.0000,0.0161
0.1700,59.9681,60.0000,0.0162
0.1800,59.9666,60.0000,0.0163
0.1900,59.9651,60.0000,0.0165
0.2000,59.9637,60.0000,0.0166
0.2100,59.9622,60.0000,0.0167
0.2200,59.9607,60.0000,0.0168
0.2300,59.9593,60.0000,0.0169
0.2400,59.9579,60.0000,0.0170
0.2500,59.9564,60.0000,0.0171
0.2600,59.9550,60.0000,0.0172
0.2700,59.9536,60.0000,0.0173
0.2800,59.9522,60.0000,0.0174
0.2900,59.9508,60.0000,0.0175
0.3000,59.9494,60.0000,0.0176
0.3100,59.9480,60.0000,0.0177
0.3200,59.9466,60.0000,0.0178
0.3300,59.9453,60.0000,0.0179
0.3400,59.9439,60.0000,0.0180
0.3500,59.9425,60.0000,0.0181
0.3600,59.9412,60.0000,0.0182
0.3700,59.9398,60.0000,0.0183
0.3800,59.9385,60.0000,0.0184
0.3900,59.9372,60.0000,0.0185
0.4000,59.9359,60.0000,0.0186
0.4100,59.9346,60.0000,0.0187
0.4200,59.9333,60.0000,0.0188
0.4300,59.9320,60.0000,0.0189
0.4400,59.9307,60.0000,0.0190
0.4500,59.9294,60.0000,0.0191
0.4600,59.9281,60.0000,0.0192
0.4700,59.9268,60.0000,0.0193
0.4800,59.9256,60.0000,0.0194
0.4900,59.9243,60.0000,0.0195
0.5000,59.9231,60.0000,0.0196
0.5100,59.9218,60.0000,0.0197
0.5200,59.9206,60.0000,0.0198
0.5300,59.9194,60.0000,0.0199
0.5400,59.9182,60.0000,0.0200
0.5500,59.9169,60.0000,0.0201
0.5600,59.9157,60.0000,0.0202
0.5700,59.9145,60.0000,0.0203
0.5800,59.9134,60.0000,0.0204
0.5900,59.9122,60.0000,0.0205
0.6000,59.9110,60.0000,0.0206
0.6100,59.9098,60.0000,0.0207
0.6200,59.9087,60.0000,0.0208
0.6300,59.9075,60.0000,0.0208
0.6400,59.9063,60.0000,0.0209
0.6500,59.9052,60.0000,0.0210
0.6600,59.9041,60.0000,0.0211
0.6700,59.9029,60.0000,0.0212
0.6800,59.9018,60.0000,0.0213
0.6900,59.9007,60.0000,0.0214
0.7000,59.8996,60.0000,0.0215
0.7100,59.8985,60.0000,0.0216
0.7200,59.8974,60.0000,0.0217
0.7300,59.8963,60.0000,0.0218
0.7400,59.8952,60.0000,0.0218
0.7500,59.8941,60.0000,0.0219
0.7600,59.8931,60.0000,0.0220
0.7700,59.8920,60.0000,0.0221
0.7800,59.8909,60.0000,0.0222
0.7900,59.8899,60.0000,0.0223
0.8000,59.8888,60.0000,0.0224
0.8100,59.8878,60.0000,0.0225
0.8200,59.8868,60.0000,0.0225
0.8300,59.8857,60.0000,0.0226
0.8400,59.8847,60.0000,0.0227
0.8500,59.8837,60.0000,0.0228
0.8600,59.8827,60.0000,0.0229
0.8700,59.8817,60.0000,0.0230
0.8800,59.8807,60.0000,0.0231
0.8900,59.8797,60.0000,0.0231
0.9000,59.8787,60.0000,0.0232
0.9100,59.8777,60.0000,0.0233
0.9200,59.8768,60.0000,0.0234
0.9300,59.8758,60.0000,0.0235
0.9400,59.8748,60.0000,0.0236
0.9500,59.8739,60.0000,0.0236
0.9600,59.8729,60.0000,0.0237
0.9700,59.8720,60.0000,0.0238
0.9800,59.8711,60.0000,0.0239
0.9900,59.8701,60.0000,0.0240
1.0000,59.8692,60.0000,0.0241
1.0100,59.8683,60.0000,0.0241
1.0200,59.8674,60.0000,0.0242
1.0300,59.8665,60.0000,0.0243
1.0400,59.8656,60.0000,0.0244
1.0500,59.8647,60.0000,0.0245
1.0600,59.8638,60.0000,0.0245
1.0700,59.8629,60.0000,0.0246
1.0800,59.8620,60.0000,0.0247
1.0900,59.8612,60.0000,0.0248
1.1000,59.8603,60.0000,0.0249
1.1100,59.8594,60.0000,0.0249
1.1200,59.8586,60.0000,0.0250
1.1300,59.8577,60.0000,0.0251
1.1400,59.8569,60.0000,0.0252
1.1500,59.8561,60.0000,0.0252
1.1600,59.8552,60.0000,0.0253
1.1700,59.8544,60.0000,0.0254
1.1800,59.8536,60.0000,0.0255
1.1900,59.8528,60.0000,0.0255
1.2000,59.8520,60.0000,0.0256
1.2100,59.8512,60.0000,0.0257
1.2200,59.8504,60.0000,0.0258
1.2300,59.8496,60.0000,0.0259
1.2400,59.8488,60.0000,0.0259
1.2500,59.8480,60.0000,0.0260
1.2600,59.8472,60.0000,0.0261
1.2700,59.8465,60.0000,0.0261
1.2800,59.8457,60.0000,0.0262
1.2900,59.8449,60.0000,0.0263
1.3000,59.8442,60.0000,0.0264
1.3100,59.8434,60.0000,0.0264
1.3200,59.8427,60.0000,0.0265
1.3300,59.8420,60.0000,0.0266
1.3400,59.8412,60.0000,0.0267
1.3500,59.8405,60.0000,0.0267
1.3600,59.8398,60.0000,0.0268
1.3700,59.8390,60.0000,0.0269
1.3800,59.8383,60.0000,0.0269
