t,p6_x,p6_y,p6_v,p6_cte,p6_he,p6_ve,p6_steer_deg,p6_accel,p6_v_ref,p4_x,p4_y,p4_v,p4_cte,p4_he,p4_steer_deg
0,0.113144,0.113131,8,-2.84401e-06,-3.55501e-05,0,-0.0343722,-0,8,0.113142,0.113133,8,0,0,0
0.02,0.22629,0.226258,8,-9.92598e-06,-5.29746e-05,0,-0.0168472,-0,8,0.226283,0.226265,8,0,0,0
0.04,0.339442,0.339381,8,-3.69367e-05,-8.9018e-06,0,-0.0719135,-0,8,0.339427,0.339396,8,-1.52131e-05,8.55939e-05,-0.0317683
0.06,0.452601,0.452496,8,-2.33991e-05,-5.88729e-05,0,-0.0483154,-0,8,0.452574,0.452523,8,1.47606e-05,5.20822e-05,-0.0324013
0.08,0.565764,0.565607,8,-1.64627e-05,-9.14171e-05,0,-0.0314659,-0,8,0.565725,0.565646,8,3.95399e-05,2.06634e-05,-0.0303778
0.1,0.678941,0.678704,8,-7.85647e-05,6.2163e-05,0,-0.195267,-0,8,0.678885,0.67876,8,4.69923e-07,0.000237983,-0.13364
0.12,0.792137,0.791782,8,-4.15274e-05,-7.36564e-05,0,-0.131319,-0,8,0.79206,0.79186,8,6.7479e-05,0.000125171,-0.109074
0.14,0.905345,0.904848,8,-2.2441e-05,-0.000162221,0,-0.0856305,-0,8,0.905246,0.904948,8,0.000118247,3.49663e-05,-0.0872159
0.16,1.01856,1.01791,8,-1.48738e-05,-0.000217647,0,-0.0535895,-0,8,1.01844,1.01803,8,0.000156131,-3.58701e-05,-0.0684893
0.18,1.1318,1.13094,8,-3.73242e-05,4.23133e-05,0,-0.322185,-0,8,1.13166,1.13109,8,0.00016674,0.000273786,-0.274138
0.2,1.24507,1.24395,8,9.09943e-06,-0.000174784,0,-0.209903,-0,8,1.2449,1.24412,8,0.00025108,6.76907e-05,-0.199265
0.22,1.35836,1.35693,8,2.72995e-05,-0.000310481,0,-0.131201,-0,8,1.35816,1.35713,8,0.000307147,-7.9619e-05,-0.142428
0.24,1.47168,1.46988,8,-4.95634e-05,6.7472e-05,0,-0.438781,-0,8,1.47146,1.47011,8,0.000271127,0.000347159,-0.391577
0.26,1.58505,1.58279,8,1.37591e-05,-0.000228237,0,-0.285909,-0,8,1.58479,1.58305,8,0.000379757,5.84184e-05,-0.279171
0.28,1.69844,1.69567,8,3.8635e-05,-0.000413111,0,-0.178748,-0,8,1.69815,1.69596,8,0.000449128,-0.000143587,-0.195311
0.3,1.81187,1.80851,8,-0.000115789,0.000112637,0,-0.527835,-0,8,1.81155,1.80883,8,0.00034132,0.000425832,-0.485615
0.32,1.92536,1.9213,8,-3.10762e-05,-0.000247158,0,-0.347869,-0,8,1.925,1.92166,8,0.000476272,6.76382e-05,-0.346321
0.34,2.03888,2.03405,8,6.57643e-06,-0.000475617,0,-0.220888,-0,8,2.03848,2.03445,8,0.000562514,-0.000183045,-0.242375
0.36,2.15242,2.14679,8,1.49399e-05,-0.000613273,0,-0.133095,-0,8,2.15199,2.14721,8,0.000614968,-0.00035472,-0.165986
0.38,2.266,2.25948,8,-2.90177e-05,2.78319e-05,0,-0.649891,-0,8,2.26554,2.25993,8,0.000615253,0.000322349,-0.615123
0.4,2.37965,2.3721,8,5.56691e-05,-0.00040581,0,-0.419266,-0,8,2.37916,2.37259,8,0.000746953,-0.000112664,-0.420592
0.42,2.49333,2.48469,8,8.42764e-05,-0.000673162,0,-0.258492,-0,8,2.49281,2.48521,8,0.000820679,-0.000402325,-0.280061
0.44,2.60708,2.59721,8,-4.06663e-05,7.20582e-05,0,-0.78483,-0,8,2.60653,2.59777,8,0.000742496,0.000385775,-0.743378
0.46,2.7209,2.70966,8,6.34643e-05,-0.000452506,0,-0.50717,-0,8,2.72031,2.71025,8,0.000896911,-0.000137675,-0.506094
0.48,2.83477,2.82206,8,9.96955e-05,-0.000776685,0,-0.313435,-0,8,2.83415,2.82268,8,0.000981714,-0.000484357,-0.335191
0.5,2.94871,2.93439,8,-0.000130079,0.000127899,0,-0.868759,-0,8,2.94805,2.93505,8,0.000802114,0.000462856,-0.827551
0.52,3.06273,3.04663,8,-2.12089e-06,-0.000458809,0,-0.56725,-0,8,3.06203,3.04733,8,0.000983618,-0.000124443,-0.567821
0.54,3.1768,3.15883,8,4.9472e-05,-0.000826667,0,-0.355665,-0,8,3.17607,3.15956,8,0.00108672,-0.000517199,-0.379737
0.56,3.29091,3.27098,8,5.42363e-05,-0.00104417,0,-0.210292,-0,8,3.29015,3.27175,8,0.00113806,-0.000771465,-0.24584
0.58,3.40509,3.38307,8,1.80791e-05,-2.53577e-05,0,-0.999108,-0,8,3.40429,3.38387,8,0.00114853,0.000285037,-0.962675
0.6,3.51936,3.49506,8,0.00013572,-0.000686021,0,-0.638747,-0,8,3.51853,3.4959,8,0.00131571,-0.000377197,-0.640265
0.62,3.6337,3.60699,8,0.000168342,-0.0010881,0,-0.388751,-0,8,3.63283,3.60786,8,0.00139586,-0.00080285,-0.411542
0.64,3.74812,3.71883,8,3.25052e-05,1.60101e-05,0,-1.16059,-0,8,3.74722,3.71973,8,0.00130933,0.000347371,-1.11603
0.66,3.86265,3.83055,8,0.000168653,-0.000751187,0,-0.741735,-0,8,3.86171,3.8315,8,0.00149862,-0.000418199,-0.740163
0.68,3.97725,3.9422,8,0.00020609,-0.00121788,0,-0.451222,-0,8,3.97628,3.94319,8,0.00158745,-0.000908441,-0.473988
