t,true_x,true_y,kf_x,kf_y,ekf_x,ekf_y,gps_x,gps_y,gps_valid
0,0.00122702,0.09999,-1.21287,1.237,-1.21286,1.237,-1.64948,1.64629,1
0.02,0.00491107,0.19992,-1.21295,1.33707,-1.21047,1.33714,0,0,0
0.04,0.0110249,0.29973,-1.21303,1.43714,-1.20562,1.43725,0,0,0
0.06,0.0195384,0.399365,-1.2131,1.53721,-1.19837,1.53727,0,0,0
0.08,0.0304201,0.498768,-1.21318,1.63729,-1.18869,1.63741,0,0,0
0.1,0.043636,0.597889,-1.21326,1.73736,-1.17661,1.7374,0,0,0
0.12,0.0591511,0.696676,-1.21334,1.83743,-1.1622,1.83691,0,0,0
0.14,0.0769279,0.795081,-1.21341,1.93751,-1.14557,1.93588,0,0,0
0.16,0.0969286,0.893058,-1.21349,2.03758,-1.12661,2.03459,0,0,0
0.18,0.119113,0.990564,-1.21357,2.13765,-1.10551,2.13274,0,0,0
0.2,0.143441,1.08756,-0.0191171,3.50814,0.0557064,3.5223,1.56502,5.19291,1
0.22,0.16987,1.184,-0.0162973,3.61129,0.0853163,3.62658,0,0,0
0.24,0.198359,1.27985,-0.0134775,3.71444,0.117201,3.73031,0,0,0
0.26,0.228864,1.37509,-0.0106577,3.8176,0.151282,3.83327,0,0,0
0.28,0.261342,1.46966,-0.00783788,3.92075,0.18751,3.93551,0,0,0
0.3,0.295747,1.56356,-0.00501808,4.02391,0.225848,4.03699,0,0,0
0.32,0.332058,1.65673,-0.00219828,4.12706,0.266221,4.13757,0,0,0
0.34,0.370228,1.74916,0.000621522,4.23022,0.308606,4.2372,0,0,0
0.36,0.41021,1.84081,0.00344132,4.33337,0.353035,4.33614,0,0,0
0.38,0.451961,1.93168,0.00626112,4.43652,0.39942,4.43415,0,0,0
0.4,0.495433,2.02173,-0.713183,3.61764,-0.466617,3.47805,-2.25505,1.64929,1
0.42,0.540599,2.11095,-0.7147,3.71525,-0.431356,3.5536,0,0,0
0.44,0.587414,2.19931,-0.716217,3.81287,-0.394692,3.62842,0,0,0
0.46,0.635831,2.28681,-0.717734,3.91049,-0.356667,3.70253,0,0,0
0.48,0.68582,2.37342,-0.719251,4.00811,-0.317265,3.77596,0,0,0
0.5,0.737338,2.45912,-0.720768,4.10573,-0.276532,3.84866,0,0,0
0.52,0.790338,2.54392,-0.722286,4.20334,-0.2346,3.92049,0,0,0
0.54,0.844792,2.62779,-0.723803,4.30096,-0.191407,3.99167,0,0,0
