t,x,y,v,steer_deg,accel
0,2.5,2.5,7.83446,2.44086,0
0.02,2.65299,2.53383,7.83446,30.023,0
0.04,2.80535,2.5704,7.83446,30.023,-0.598549
0.06,2.95627,2.61203,7.82249,30.023,-0.574798
0.08,3.1055,2.65862,7.81099,30.023,-0.55184
0.1,3.25287,2.7101,7.79996,30.023,-1.69078
0.12,3.39802,2.7663,7.76614,30.023,-1.62355
0.14,3.54062,2.82703,7.73367,30.023,-1.5587
0.16,3.68055,2.89219,7.7025,30.023,-1.49644
0.18,3.81771,2.96164,7.67257,30.023,-2.92719
0.2,3.95174,3.03514,7.61402,30.023,-2.81066
0.22,4.08232,3.11237,7.55781,30.023,-2.6984
0.24,4.2094,3.1932,7.50384,30.023,-4.0011
0.26,4.33272,3.27731,7.42382,30.023,-3.84166
0.28,4.45203,3.36438,7.34699,30.023,-3.68821
0.3,4.56736,3.45422,7.27322,30.023,-4.34963
0.32,4.6786,3.54659,7.18623,30.023,-4.17611
0.34,4.78567,3.6412,7.10271,30.023,-4.0093
0.36,4.88862,3.73791,7.02252,30.023,-3.84916
0.38,4.98751,3.83655,6.94554,30.023,-3.57227
0.4,5.0824,3.93702,6.87409,30.023,-3.42956
0.42,5.17336,4.03918,6.8055,30.023,-3.29257
0.44,5.26044,4.14293,6.73965,30.023,-2.11558
0.46,5.34382,4.24829,6.69734,30.023,-2.0308
0.48,5.42365,4.35534,6.65672,30.023,-1.94969
0.5,5.49994,4.46397,6.61773,30.023,-1.87181
0.52,5.57269,4.57408,6.58029,30.023,-0.487887
0.54,5.64207,4.68579,6.57054,30.023,-0.468056
0.56,5.70818,4.79925,6.56117,30.023,-0.449361
0.58,5.771,4.91435,6.55219,30.023,-0.431412
0.6,5.83048,5.03102,6.54356,30.023,0.227743
0.62,5.88665,5.14927,6.54811,30.023,0.218814
0.64,5.93951,5.26913,6.55249,30.023,0.210074
0.66,5.98903,5.3905,6.55669,30.023,0.201684
0.68,6.03516,5.5133,6.56073,20.3192,-0.499572
0.7,6.07842,5.63707,6.55073,20.3192,-0.479799
0.72,6.11939,5.76141,6.54114,-30.023,-0.460635
0.74,6.16093,5.88536,6.53193,-30.023,-0.442237
0.76,6.20585,6.00793,6.52308,-30.023,-0.424573
0.78,6.25411,6.12904,6.51459,-30.023,-2.12472
0.8,6.30552,6.24829,6.47209,-30.023,-2.04031
0.82,6.35987,6.36532,6.43129,-30.023,-1.95881
0.84,6.41706,6.48009,6.39211,-30.023,-1.88057
0.86,6.47701,6.59257,6.3545,-30.023,-1.80546
0.88,6.53963,6.70275,6.31839,-30.023,-1.73335
0.9,6.60484,6.81058,6.28372,-30.023,-3.54556
0.92,6.67236,6.91573,6.21281,-30.023,-3.40444
