time,x,y,theta_deg,v
0.000000,0.000000,0.000000,90.000000,5.000000
0.010000,0.000156,0.050000,89.641901,5.000000
0.020000,0.000625,0.099997,89.283803,5.000000
0.030000,0.001406,0.149991,88.925704,5.000000
0.040000,0.002500,0.199979,88.567606,5.000000
0.050000,0.003906,0.249959,88.209507,5.000000
0.060000,0.005624,0.299930,87.851408,5.000000
0.070000,0.007655,0.349888,87.493310,5.000000
0.080000,0.009998,0.399833,87.135211,5.000000
0.090000,0.012653,0.449763,86.777112,5.000000
0.100000,0.015620,0.499675,86.419014,5.000000
0.110000,0.018899,0.549567,86.060915,5.000000
0.120000,0.022489,0.599438,85.702817,5.000000
0.130000,0.026392,0.649285,85.344718,5.000000
0.140000,0.030605,0.699107,84.986619,5.000000
0.150000,0.035131,0.748902,84.628521,5.000000
0.160000,0.039967,0.798667,84.270422,5.000000
0.170000,0.045114,0.848402,83.912323,5.000000
0.180000,0.050572,0.898103,83.554225,5.000000
0.190000,0.056340,0.947769,83.196126,5.000000
0.200000,0.062419,0.997398,82.838028,5.000000
0.210000,0.068807,1.046988,82.479929,5.000000
0.220000,0.075506,1.096537,82.121830,5.000000
0.230000,0.082514,1.146043,81.763732,5.000000
0.240000,0.089831,1.195505,81.405633,5.000000
0.250000,0.097458,1.244920,81.047534,5.000000
0.260000,0.105393,1.294286,80.689436,5.000000
0.270000,0.113636,1.343602,80.331337,5.000000
0.280000,0.122188,1.392865,79.973239,5.000000
0.290000,0.131047,1.442074,79.615140,5.000000
0.300000,0.140213,1.491226,79.257041,5.000000
0.310000,0.149687,1.540321,78.898943,5.000000
0.320000,0.159467,1.589355,78.540844,5.000000
0.330000,0.169554,1.638327,78.182745,5.000000
0.340000,0.179946,1.687235,77.824647,5.000000
0.350000,0.190644,1.736077,77.466548,5.000000
0.360000,0.201647,1.784851,77.108450,5.000000
0.370000,0.212955,1.833555,76.750351,5.000000
0.380000,0.224566,1.882188,76.392252,5.000000
0.390000,0.236482,1.930748,76.034154,5.000000
0.400000,0.248701,1.979232,75.676055,5.000000
0.410000,0.261222,2.027638,75.317956,5.000000
0.420000,0.274046,2.075966,74.959858,5.000000
0.430000,0.287172,2.124212,74.601759,5.000000
0.440000,0.300598,2.172375,74.243661,5.000000
0.450000,0.314326,2.220454,73.885562,5.000000
0.460000,0.328354,2.268446,73.527463,5.000000
0.470000,0.342681,2.316349,73.169365,5.000000
0.480000,0.357308,2.364162,72.811266,5.000000
0.490000,0.372233,2.411882,72.453168,5.000000
0.500000,0.387456,2.459508,72.095069,5.000000
0.510000,0.402977,2.507038,71.736970,5.000000
0.520000,0.418794,2.554470,71.378872,5.000000
0.530000,0.434908,2.601803,71.020773,5.000000
0.540000,0.451317,2.649033,70.662674,5.000000
0.550000,0.468020,2.696161,70.304576,5.000000
0.560000,0.485018,2.743182,69.946477,5.000000
0.570000,0.502310,2.790097,69.588379,5.000000
0.580000,0.519894,2.836903,69.230280,5.000000
0.590000,0.537771,2.883598,68.872181,5.000000
0.600000,0.555939,2.930180,68.514083,5.000000
0.610000,0.574398,2.976648,68.155984,5.000000
0.620000,0.593147,3.023000,67.797885,5.000000
0.630000,0.612185,3.069233,67.439787,5.000000
0.640000,0.631512,3.115347,67.081688,5.000000
0.650000,0.651127,3.161339,66.723590,5.000000
0.660000,0.671029,3.207207,66.365491,5.000000
0.670000,0.691217,3.252950,66.007392,5.000000
0.680000,0.711690,3.298566,65.649294,5.000000
0.690000,0.732448,3.344053,65.291195,5.000000
0.700000,0.753491,3.389410,64.933096,5.000000
0.710000,0.774816,3.434634,64.574998,5.000000
0.720000,0.796423,3.479724,64.216899,5.000000
0.730000,0.818312,3.524678,63.858801,5.000000
0.740000,0.840481,3.569495,63.500702,5.000000
0.750000,0.862930,3.614172,63.142603,5.000000
0.760000,0.885658,3.658708,62.784505,5.000000
0.770000,0.908664,3.703100,62.426406,5.000000
0.780000,0.931947,3.747349,62.068307,5.000000
0.790000,0.955506,3.791451,61.710209,5.000000
0.800000,0.979340,3.835404,61.352110,5.000000
0.810000,1.003448,3.879208,60.994012,5.000000
0.820000,1.027829,3.922861,60.635913,5.000000
0.830000,1.052483,3.966360,60.277814,5.000000
0.840000,1.077408,4.009704,59.919716,5.000000
0.850000,1.102604,4.052892,59.561617,5.000000
0.860000,1.128069,4.095921,59.203519,5.000000
0.870000,1.153803,4.138790,58.845420,5.000000
0.880000,1.179804,4.181498,58.487321,5.000000
0.890000,1.206071,4.224042,58.129223,5.000000
0.900000,1.232604,4.266421,57.771124,5.000000
0.910000,1.259401,4.308634,57.413025,5.000000
0.920000,1.286462,4.350678,57.054927,5.000000
0.930000,1.313784,4.392553,56.696828,5.000000
0.940000,1.341368,4.434255,56.338730,5.000000
0.950000,1.369212,4.475785,55.980631,5.000000
0.960000,1.397315,4.517140,55.622532,5.000000
0.970000,1.425676,4.558318,55.264434,5.000000
0.980000,1.454294,4.599318,54.906335,5.000000
0.990000,1.483167,4.640139,54.548236,5.000000
1.000000,1.512295,4.680778,54.190138,5.000000
1.010000,1.541676,4.721235,53.832039,5.000000
1.020000,1.571310,4.761507,53.473941,5.000000
1.030000,1.601195,4.801593,53.115842,5.000000
1.040000,1.631330,4.841491,52.757743,5.000000
1.050000,1.661713,4.881201,52.399645,5.000000
1.060000,1.692344,4.920719,52.041546,5.000000
1.070000,1.723222,4.960046,51.683447,5.000000
1.080000,1.754344,4.999179,51.325349,5.000000
1.090000,1.785711,5.038116,50.967250,5.000000
1.100000,1.817320,5.076857,50.609152,5.000000
1.110000,1.849171,5.115399,50.251053,5.000000
1.120000,1.881263,5.153741,49.892954,5.000000
1.130000,1.913593,5.191883,49.534856,5.000000
1.140000,1.946161,5.229821,49.176757,5.000000
1.150000,1.978965,5.267555,48.818658,5.000000
1.160000,2.012005,5.305084,48.460560,5.000000
1.170000,2.045278,5.342405,48.102461,5.000000
1.180000,2.078784,5.379517,47.744363,5.000000
1.190000,2.112522,5.416419,47.386264,5.000000
1.200000,2.146489,5.453110,47.028165,5.000000
1.210000,2.180685,5.489588,46.670067,5.000000
1.220000,2.215108,5.525851,46.311968,5.000000
1.230000,2.249758,5.561898,45.953869,5.000000
1.240000,2.284632,5.597729,45.595771,5.000000
1.250000,2.319729,5.633340,45.237672,5.000000
1.260000,2.355048,5.668732,44.879574,5.000000
1.270000,2.390588,5.703902,44.521475,5.000000
1.280000,2.426346,5.738849,44.163376,5.000000
1.290000,2.462323,5.773572,43.805278,5.000000
1.300000,2.498516,5.808069,43.447179,5.000000
1.310000,2.534923,5.842340,43.089081,5.000000
1.320000,2.571544,5.876382,42.730982,5.000000
1.330000,2.608377,5.910195,42.372883,5.000000
1.340000,2.645421,5.943777,42.014785,5.000000
1.350000,2.682674,5.977127,41.656686,5.000000
1.360000,2.720135,6.010243,41.298587,5.000000
1.370000,2.757802,6.043125,40.940489,5.000000
1.380000,2.795673,6.075770,40.582390,5.000000
1.390000,2.833748,6.108178,40.224292,5.000000
1.400000,2.872025,6.140348,39.866193,5.000000
1.410000,2.910502,6.172278,39.508094,5.000000
1.420000,2.949178,6.203966,39.149996,5.000000
1.430000,2.988051,6.235413,38.791897,5.000000
1.440000,3.027120,6.266615,38.433798,5.000000
1.450000,3.066383,6.297573,38.075700,5.000000
1.460000,3.105839,6.328285,37.717601,5.000000
1.470000,3.145487,6.358750,37.359503,5.000000
1.480000,3.185323,6.388966,37.001404,5.000000
1.490000,3.225348,6.418933,36.643305,5.000000
1.500000,3.265559,6.448649,36.285207,5.000000
1.510000,3.305956,6.478113,35.927108,5.000000
1.520000,3.346535,6.507324,35.569009,5.000000
1.530000,3.387297,6.536281,35.210911,5.000000
1.540000,3.428238,6.564982,34.852812,5.000000
1.550000,3.469358,6.593428,34.494714,5.000000
1.560000,3.510656,6.621615,34.136615,5.000000
1.570000,3.552128,6.649544,33.778516,5.000000
1.580000,3.593774,6.677213,33.420418,5.000000
1.590000,3.635593,6.704621,33.062319,5.000000
1.600000,3.677582,6.731768,32.704220,5.000000
1.610000,3.719739,6.758651,32.346122,5.000000
1.620000,3.762064,6.785271,31.988023,5.000000
1.630000,3.804555,6.811625,31.629925,5.000000
1.640000,3.847209,6.837714,31.271826,5.000000
1.650000,3.890025,6.863535,30.913727,5.000000
1.660000,3.933003,6.889088,30.555629,5.000000
1.670000,3.976138,6.914372,30.197530,5.000000
1.680000,4.019432,6.939386,29.839432,5.000000
