time,x,y,theta_deg,cte,heading_error_deg
0.000000,0.000000,0.000000,0.000000,0.000000,-6.718754
0.010000,0.100000,0.000000,0.000000,-0.011700,-6.718754
0.020000,0.200000,0.000004,0.004666,-0.023395,-6.712437
0.030000,0.300000,0.000020,0.013998,-0.035076,-6.703105
0.040000,0.400000,0.000057,0.027993,-0.046736,-6.685809
0.050000,0.500000,0.000122,0.046648,-0.058363,-6.667154
0.060000,0.600000,0.000224,0.069959,-0.069954,-6.638893
0.070000,0.700000,0.000370,0.097919,-0.081490,-6.610932
0.080000,0.800000,0.000570,0.130522,-0.092976,-6.571729
0.090000,0.899999,0.000830,0.167761,-0.104389,-6.534490
0.100000,0.999999,0.001159,0.209627,-0.115735,-6.484378
0.110000,1.099998,0.001566,0.256109,-0.126988,-6.437896
0.120000,1.199997,0.002057,0.307197,-0.138159,-6.376915
0.130000,1.299995,0.002642,0.362879,-0.149218,-6.321234
0.140000,1.399993,0.003328,0.423141,-0.160181,-6.249437
0.150000,1.499989,0.004123,0.487969,-0.171010,-6.184609
0.160000,1.599985,0.005035,0.557348,-0.181729,-6.102055
0.170000,1.699980,0.006073,0.631261,-0.192295,-6.028142
0.180000,1.799973,0.007243,0.709691,-0.202736,-5.934900
0.190000,1.899964,0.008554,0.792618,-0.213003,-5.851972
0.200000,1.999954,0.010013,0.880024,-0.223132,-5.748120
0.210000,2.099941,0.011629,0.971887,-0.233068,-5.656257
0.220000,2.199925,0.013410,1.068185,-0.242851,-5.541882
0.230000,2.299906,0.015362,1.168896,-0.252421,-5.441171
0.240000,2.399883,0.017493,1.273995,-0.261825,-5.316369
0.250000,2.499856,0.019812,1.383458,-0.270995,-5.206906
0.260000,2.599825,0.022326,1.497258,-0.279986,-5.071782
0.270000,2.699788,0.025042,1.615368,-0.288724,-4.953672
0.280000,2.799745,0.027968,1.737760,-0.297269,-4.808339
0.290000,2.899695,0.031110,1.864405,-0.305541,-4.681695
0.300000,2.999639,0.034478,1.995271,-0.313608,-4.526275
0.310000,3.099574,0.038078,2.130329,-0.321382,-4.391218
0.320000,3.199500,0.041916,2.269545,-0.328939,-4.225843
0.330000,3.299417,0.046001,2.412886,-0.336183,-4.082502
0.340000,3.399322,0.050340,2.560318,-0.343197,-3.907312
0.350000,3.499217,0.054939,2.711805,-0.349879,-3.755825
0.360000,3.599098,0.059806,2.867312,-0.356320,-3.570967
0.370000,3.698966,0.064947,3.026799,-0.362410,-3.411480
0.380000,3.798819,0.070370,3.190230,-0.368246,-3.217111
0.390000,3.898655,0.076081,3.357564,-0.373712,-3.049776
0.400000,3.998475,0.082087,3.528762,-0.378914,-2.846061
0.410000,4.098276,0.088394,3.703782,-0.383727,-2.671041
0.420000,4.198057,0.095009,3.882582,-0.388264,-2.458151
0.430000,4.297816,0.101940,4.065118,-0.392394,-2.275615
0.440000,4.397553,0.109191,4.251347,-0.396238,-2.053732
0.450000,4.497265,0.116769,4.441223,-0.399656,-1.863856
0.460000,4.596952,0.124681,4.634701,-0.402778,-1.633169
0.470000,4.696611,0.132933,4.831732,-0.405456,-1.436137
0.480000,4.796240,0.141530,5.032271,-0.407829,-1.196841
0.490000,4.895839,0.150479,5.236268,-0.409739,-0.992844
0.500000,4.995405,0.159786,5.443672,-0.411335,-0.745143
0.510000,5.094936,0.169455,5.654435,-0.412451,-0.534381
0.520000,5.194431,0.179494,5.868504,-0.413244,-0.278486
0.530000,5.293887,0.189907,6.085828,-0.413540,-0.061162
0.540000,5.393303,0.200700,6.306353,-0.413503,0.202707
0.550000,5.492676,0.211879,6.530026,-0.412954,0.426380
0.560000,5.592005,0.223448,6.756792,-0.412064,0.698000
0.570000,5.691286,0.235412,6.986595,-0.410645,0.927803
0.580000,5.790519,0.247778,7.219380,-0.408877,1.206940
0.590000,5.889700,0.260549,7.455088,-0.406565,1.442649
0.600000,5.988827,0.273730,7.693664,-0.403897,1.729066
0.610000,6.087899,0.287326,7.935047,-0.400669,1.970449
0.620000,6.186911,0.301342,8.179179,-0.397078,2.263899
0.630000,6.285863,0.315782,8.426000,-0.392913,2.510720
0.640000,6.384752,0.330651,8.675449,-0.388378,2.810952
0.650000,6.483574,0.345952,8.927464,-0.383254,3.062968
0.660000,6.582328,0.361690,9.181985,-0.377756,3.369725
0.670000,6.681010,0.377868,9.438947,-0.371654,3.626687
0.680000,6.779619,0.394491,9.698288,-0.365172,3.939707
0.690000,6.878151,0.411562,9.959943,-0.358074,4.201362
0.700000,6.976604,0.429085,10.223848,-0.350592,4.520375
0.710000,7.074974,0.447063,10.489938,-0.342479,4.786465
0.720000,7.173260,0.465499,10.758147,-0.333978,5.111197
0.730000,7.271458,0.484397,11.028409,-0.324835,5.381458
0.740000,7.369565,0.503760,11.300656,-0.315301,5.711631
0.750000,7.467579,0.523590,11.574821,-0.305110,5.985797
0.760000,7.565497,0.543891,11.850837,-0.294528,6.321127
0.770000,7.663315,0.564664,12.128634,-0.283277,6.598924
0.780000,7.761032,0.585913,12.408144,-0.271633,6.939124
0.790000,7.858643,0.607640,12.689298,-0.259308,7.220277
0.800000,7.956146,0.629847,12.972025,-0.246590,7.565055
0.810000,8.053538,0.652536,13.256255,-0.233179,7.849285
0.820000,8.150815,0.675710,13.541918,-0.219375,8.198343
0.830000,8.247976,0.699369,13.828942,-0.204868,8.485368
0.840000,8.345017,0.723515,14.117256,-0.189969,8.838409
0.850000,8.441935,0.748151,14.406789,-0.174355,9.127941
0.860000,8.538727,0.773277,14.697467,-0.158353,9.484662
0.870000,8.635390,0.798895,14.989219,-0.141624,9.776414
0.880000,8.731921,0.825005,15.281972,-0.124392,10.069167
0.890000,8.828317,0.851609,15.575653,-0.106660,10.430189
0.900000,8.924575,0.878708,15.870188,-0.088303,10.724724
0.910000,9.020692,0.906301,16.165504,-0.069451,11.088666
0.920000,9.116666,0.934391,16.461528,-0.049965,11.384689
0.930000,9.212493,0.962976,16.758184,-0.029987,11.751238
0.940000,9.308171,0.992057,17.055400,-0.009367,12.048454
0.950000,9.403697,1.021635,17.353101,0.011737,12.417298
0.960000,9.499067,1.051709,17.651213,0.033494,12.715410
0.970000,9.594280,1.082280,17.949661,0.055727,13.086234
0.980000,9.689332,1.113346,18.248370,0.078623,13.384943
0.990000,9.784220,1.144907,18.547266,0.101985,13.757432
1.000000,9.878943,1.176963,18.846274,0.126019,14.056440
1.010000,9.973497,1.209513,19.145320,0.150509,14.430277
1.020000,10.067880,1.242555,19.444328,0.175681,14.729285
1.030000,10.162090,1.276090,19.743224,0.201296,15.104152
1.040000,10.256123,1.310116,20.041933,0.227605,15.402861
1.050000,10.349977,1.344631,20.340381,0.254341,15.778442
1.060000,10.443651,1.379635,20.638492,0.281783,16.076554
1.070000,10.537141,1.415125,20.936193,0.309636,16.452531
1.080000,10.630446,1.451100,21.233409,0.338207,16.749747
1.090000,10.723563,1.487558,21.530066,0.367169,17.125804
1.100000,10.816490,1.524497,21.826089,0.396863,17.421828
1.110000,10.909226,1.561915,22.121406,0.426928,17.797650
1.120000,11.001767,1.599810,22.415941,0.457739,18.092185
1.130000,11.094113,1.638179,22.709621,0.488898,18.467457
1.140000,11.186262,1.677021,23.002374,0.520816,18.760209
1.150000,11.278210,1.716332,23.294126,0.553218,19.051961
1.160000,11.369958,1.756110,23.584805,0.586078,19.425297
1.170000,11.461504,1.796352,23.874337,0.619574,19.714829
1.180000,11.552845,1.837055,24.162651,0.653501,20.086845
1.190000,11.643981,1.878216,24.449676,0.688081,20.373870
1.200000,11.734910,1.919832,24.735338,0.723064,20.744260
1.210000,11.825631,1.961900,25.019569,0.758715,21.028490
