time,x,y,cte,heading_error_deg,steering_deg
0.000000,0.000000,0.000000,0.000000,0.000000,-0.293889
0.010000,0.198631,0.023361,-0.000038,-0.020119,-0.301172
0.020000,0.397271,0.046646,-0.000147,-0.039127,-0.308785
0.030000,0.595920,0.069853,-0.000324,-0.057049,-0.316724
0.040000,0.794578,0.092980,-0.000565,-0.073911,-0.324987
0.050000,0.993246,0.116023,-0.000867,-0.089737,-0.333566
0.060000,1.191924,0.138983,-0.001225,-0.104554,-0.342459
0.070000,1.390612,0.161855,-0.001637,-0.118387,-0.351659
0.080000,1.589310,0.184639,-0.002099,-0.131261,-0.361159
0.090000,1.788018,0.207331,-0.002608,-0.143201,-0.370955
0.100000,1.986738,0.229929,-0.003162,-0.154233,-0.381039
0.110000,2.185468,0.252430,-0.003756,-0.164382,-0.391405
0.120000,2.384209,0.274832,-0.004388,-0.173673,-0.402044
0.130000,2.582962,0.297132,-0.005055,-0.182130,-0.412949
0.140000,2.781727,0.319327,-0.005755,-0.189779,-0.424113
0.150000,2.980503,0.341415,-0.006484,-0.196643,-0.435528
0.160000,3.179292,0.363392,-0.007240,-0.202746,-0.447184
0.170000,3.378094,0.385256,-0.008021,-0.208114,-0.459074
0.180000,3.576908,0.407003,-0.008824,-0.212768,-0.471188
0.190000,3.775735,0.428631,-0.009647,-0.216734,-0.483518
0.200000,3.974575,0.450136,-0.010486,-0.220033,-0.496054
0.210000,4.173429,0.471516,-0.011342,-0.222689,-0.508788
0.220000,4.372297,0.492766,-0.012210,-0.224724,-0.521710
0.230000,4.571179,0.513883,-0.013089,-0.226160,-0.534809
0.240000,4.770076,0.534865,-0.013977,-0.227019,-0.548078
0.250000,4.968987,0.555707,-0.014872,-0.227323,-0.561505
0.260000,5.167912,0.576407,-0.015773,-0.227092,-0.575082
0.270000,5.366854,0.596961,-0.016677,-0.226347,-0.588798
0.280000,5.565810,0.617365,-0.017582,-0.225110,-0.602644
0.290000,5.764782,0.637615,-0.018488,-0.223399,-0.616608
0.300000,5.963770,0.657709,-0.019392,-0.221234,-0.630683
0.310000,6.162774,0.677643,-0.020294,-0.218635,-0.644856
0.320000,6.361795,0.697412,-0.021191,-0.215621,-0.659119
0.330000,6.560832,0.717014,-0.022082,-0.212209,-0.673462
0.340000,6.759886,0.736444,-0.022965,-0.208419,-0.687873
0.350000,6.958957,0.755699,-0.023841,-0.204268,-0.702345
0.360000,7.158045,0.774775,-0.024706,-0.199773,-0.716865
0.370000,7.357151,0.793668,-0.025561,-0.194951,-0.731425
0.380000,7.556274,0.812375,-0.026404,-0.189819,-0.746014
0.390000,7.755415,0.830892,-0.027235,-0.184393,-0.760624
0.400000,7.954574,0.849214,-0.028051,-0.178689,-0.775243
0.410000,8.153751,0.867339,-0.028852,-0.172722,-0.789862
0.420000,8.352946,0.885263,-0.029637,-0.166507,-0.804472
0.430000,8.552160,0.902981,-0.030406,-0.160059,-0.819062
0.440000,8.751392,0.920490,-0.031157,-0.153393,-0.833624
0.450000,8.950642,0.937786,-0.031890,-0.146522,-0.848149
0.460000,9.149912,0.954866,-0.032605,-0.139460,-0.862625
0.470000,9.349200,0.971725,-0.033299,-0.132220,-0.877046
0.480000,9.548507,0.988360,-0.033974,-0.124815,-0.891400
0.490000,9.747833,1.004767,-0.034627,-0.117257,-0.905680
0.500000,9.947178,1.020943,-0.035259,-0.109559,-0.919876
0.510000,10.146541,1.036883,-0.035870,-0.101733,-0.933980
0.520000,10.345924,1.052585,-0.036458,-0.093790,-0.947983
0.530000,10.545326,1.068043,-0.037023,-0.085741,-0.961876
0.540000,10.744746,1.083256,-0.037565,-0.077597,-0.975650
0.550000,10.944186,1.098219,-0.038084,-0.069368,-0.989299
0.560000,11.143644,1.112928,-0.038579,-0.061066,-1.002812
0.570000,11.343121,1.127381,-0.039049,-0.052699,-1.016183
0.580000,11.542617,1.141573,-0.039495,-0.044278,-1.029403
0.590000,11.742131,1.155501,-0.039917,-0.035811,-1.042464
0.600000,11.941664,1.169162,-0.040313,-0.027308,-1.055360
0.610000,12.141215,1.182552,-0.040685,-0.018777,-1.068081
0.620000,12.340785,1.195669,-0.041031,-0.010227,-1.080622
0.630000,12.540372,1.208508,-0.041352,-0.001666,-1.092974
0.640000,12.739978,1.221067,-0.041647,0.006898,-1.105130
0.650000,12.939601,1.233342,-0.041917,0.015457,-1.117085
0.660000,13.139241,1.245330,-0.042162,0.024005,-1.128829
0.670000,13.338898,1.257029,-0.042380,0.032533,-1.140358
0.680000,13.538573,1.268434,-0.042573,0.041036,-1.151665
0.690000,13.738264,1.279544,-0.042741,0.049506,-1.162742
0.700000,13.937972,1.290355,-0.042882,0.057937,-1.173585
0.710000,14.137695,1.300864,-0.042999,0.066323,-1.184186
0.720000,14.337435,1.311068,-0.042920,-0.021407,-1.194540
0.730000,14.537190,1.320966,-0.042983,-0.013839,-1.204641
0.740000,14.736960,1.330554,-0.043021,-0.006309,-1.214484
0.750000,14.936745,1.339829,-0.043034,0.001179,-1.224063
0.760000,15.136544,1.348789,-0.043022,0.008618,-1.233372
0.770000,15.336357,1.357432,-0.042985,0.016004,-1.242407
0.780000,15.536184,1.365755,-0.042923,0.023334,-1.251162
0.790000,15.736024,1.373755,-0.042837,0.030603,-1.259633
0.800000,15.935876,1.381432,-0.042727,0.037806,-1.267815
0.810000,16.135741,1.388781,-0.042593,0.044940,-1.275704
0.820000,16.335618,1.395803,-0.042435,0.052001,-1.283294
0.830000,16.535506,1.402493,-0.042254,0.058985,-1.290582
0.840000,16.735405,1.408851,-0.042049,0.065890,-1.297564
0.850000,16.935314,1.414874,-0.041822,0.072711,-1.304235
0.860000,17.135233,1.420561,-0.041571,0.079446,-1.310593
0.870000,17.335162,1.425910,-0.041299,0.086092,-1.316633
0.880000,17.535099,1.430919,-0.041004,0.092646,-1.322351
0.890000,17.735044,1.435588,-0.040687,0.099106,-1.327745
0.900000,17.934997,1.439913,-0.040349,0.105468,-1.332812
0.910000,18.134958,1.443895,-0.039990,0.111732,-1.337548
0.920000,18.334925,1.447531,-0.039610,0.117893,-1.341950
0.930000,18.534898,1.450821,-0.039210,0.123951,-1.346016
0.940000,18.734876,1.453764,-0.038789,0.129904,-1.349744
0.950000,18.934859,1.456358,-0.038349,0.135749,-1.353130
0.960000,19.134846,1.458602,-0.037889,0.141486,-1.356173
0.970000,19.334837,1.460497,-0.037411,0.147111,-1.358871
0.980000,19.534831,1.462040,-0.036913,0.152625,-1.361221
0.990000,19.734828,1.463231,-0.036398,0.158026,-1.363222
1.000000,19.934826,1.464070,-0.035865,0.163312,-1.364873
1.010000,20.134826,1.464556,-0.035314,0.168483,-1.366171
1.020000,20.334825,1.464690,-0.034746,0.173537,-1.367116
1.030000,20.534825,1.464469,-0.034162,0.178473,-1.367706
1.040000,20.734824,1.463896,-0.033561,0.183292,-1.367940
1.050000,20.934822,1.462968,-0.032945,0.187991,-1.367817
1.060000,21.134818,1.461687,-0.032313,0.192572,-1.367338
1.070000,21.334811,1.460052,-0.031666,0.197032,-1.366500
1.080000,21.534802,1.458063,-0.031005,0.201372,-1.365304
1.090000,21.734788,1.455721,-0.030329,0.205591,-1.363749
1.100000,21.934770,1.453027,-0.029640,0.209689,-1.361835
1.110000,22.134746,1.449980,-0.028937,0.213667,-1.359563
1.120000,22.334717,1.446581,-0.028222,0.217523,-1.356932
1.130000,22.534682,1.442831,-0.027494,0.221258,-1.353942
1.140000,22.734640,1.438730,-0.026754,0.224872,-1.350595
1.150000,22.934591,1.434280,-0.026002,0.228366,-1.346890
1.160000,23.134533,1.429481,-0.025239,0.231739,-1.342828
1.170000,23.334467,1.424334,-0.024466,0.234992,-1.338411
1.180000,23.534391,1.418841,-0.023682,0.238125,-1.333638
1.190000,23.734306,1.413003,-0.022888,0.241138,-1.328512
1.200000,23.934210,1.406820,-0.022085,0.244033,-1.323033
1.210000,24.134104,1.400295,-0.021273,0.246809,-1.317203
1.220000,24.333986,1.393428,-0.020452,0.249468,-1.311023
1.230000,24.533856,1.386222,-0.019622,0.252009,-1.304495
1.240000,24.733714,1.378678,-0.018785,0.254435,-1.297621
1.250000,24.933558,1.370798,-0.017941,0.256744,-1.290402
1.260000,25.133390,1.362583,-0.017089,0.258939,-1.282841
1.270000,25.333207,1.354036,-0.016231,0.261020,-1.274939
1.280000,25.533010,1.345158,-0.015367,0.262988,-1.266700
1.290000,25.732798,1.335952,-0.014496,0.264844,-1.258124
1.300000,25.932570,1.326420,-0.013621,0.266589,-1.249216
1.310000,26.132327,1.316564,-0.012740,0.268224,-1.239976
1.320000,26.332068,1.306387,-0.011855,0.269750,-1.230409
1.330000,26.531793,1.295891,-0.010965,0.271168,-1.220516
1.340000,26.731500,1.285078,-0.010071,0.272479,-1.210302
1.350000,26.931190,1.273951,-0.009174,0.273685,-1.199768
1.360000,27.130863,1.262514,-0.008274,0.274786,-1.188918
1.370000,27.330518,1.250768,-0.007370,0.275784,-1.177755
1.380000,27.530154,1.238716,-0.006464,0.276679,-1.166282
1.390000,27.729772,1.226362,-0.005556,0.277474,-1.154504
1.400000,27.929372,1.213708,-0.004647,0.278169,-1.142423
1.410000,28.128952,1.200758,-0.003735,0.278766,-1.130042
1.420000,28.328513,1.187515,-0.002823,0.279265,-1.117367
1.430000,28.528055,1.173982,-0.001909,0.279669,-1.104400
1.440000,28.727577,1.160162,-0.000996,0.279977,-1.048512
1.450000,28.927079,1.146065,-0.000076,0.283352,-1.038073
1.460000,29.126562,1.131699,0.000854,0.286405,-1.027263
1.470000,29.326026,1.117066,0.001794,0.289144,-1.016086
1.480000,29.525471,1.102169,0.002742,0.291578,-1.004546
1.490000,29.724896,1.087013,0.003697,0.293714,-0.992648
1.500000,29.924301,1.071598,0.004659,0.295560,-0.980399
1.510000,30.123686,1.055930,0.005627,0.297125,-0.967801
