x,y
2.5,2.5
3.5,3.5
4.5,3.5
5.5,3.5
6.5,3.5
7.5,4.5
8.5,5.5
9.5,5.5
10.5,5.5
11.5,5.5
12.5,5.5
13.5,5.5
14.5,5.5
15.5,5.5
16.5,5.5
17.5,5.5
18.5,5.5
19.5,5.5
20.5,5.5
21.5,5.5
22.5,5.5
23.5,5.5
24.5,5.5
25.5,6.5
26.5,7.5
27.5,8.5
28.5,9.5
29.5,10.5
30.5,11.5
31.5,12.5
32.5,13.5
32.5,14.5
32.5,15.5
32.5,16.5
32.5,17.5
32.5,18.5
32.5,19.5
32.5,20.5
32.5,21.5
32.5,22.5
32.5,23.5
32.5,24.5
33.5,25.5
34.5,26.5
35.5,27.5
36.5,28.5
37.5,28.5
38.5,28.5
39.5,28.5
40.5,28.5
41.5,28.5
42.5,28.5
43.5,28.5
44.5,28.5
45.5,28.5
46.5,28.5
47.5,28.5
48.5,28.5
49.5,29.5
50.5,30.5
51.5,31.5
52.5,32.5
53.5,33.5
53.5,34.5
53.5,35.5
53.5,36.5
53.5,37.5
53.5,38.5
53.5,39.5
53.5,40.5
53.5,41.5
53.5,42.5
53.5,43.5
53.5,44.5
53.5,45.5
53.5,46.5
53.5,47.5
53.5,48.5
53.5,49.5
54.5,50.5
54.5,51.5
55.5,52.5
55.5,53.5
56.5,54.5
56.5,55.5
57.5,56.5
57.5,57.5
