s,x,y,kappa,v_ref
0,2.5,2.5,0,8
0.5,2.99477,2.60875,0.0316197,8
1,3.4864,2.7251,0.0639751,7.39654
1.5,3.97174,2.85663,0.0974566,5.99278
2,4.44765,3.01095,0.131687,5.1554
2.5,4.91099,3.19564,0.165038,4.60513
3,5.35862,3.41831,0.194302,4.24419
3.5,5.78788,3.68522,0.148122,4.86099
4,6.20162,3.98793,0.0748992,6.58313
4.5,6.60617,4.30867,0.00698968,7.12093
5,7.0079,4.62952,-0.0620243,6.56657
5.5,7.41318,4.93259,-0.139319,5.01221
6,7.8284,5.19997,-0.229634,3.90405
6.5,8.25993,5.41376,-0.327982,3.2667
7,8.71394,5.55662,-0.334869,3.23293
7.5,9.19118,5.62727,-0.239434,3.82333
8,9.68642,5.64199,-0.152661,4.78817
8.5,10.1941,5.61799,-0.0795452,6.63326
9,10.7088,5.57244,-0.0155758,7.70942
9.5,11.2249,5.52254,0.0464591,7.77485
10,11.737,5.48512,0.074803,6.84029
10.5,12.2429,5.46692,0.0585602,7.73095
11,12.744,5.46365,0.040504,8
11.5,13.2419,5.47047,0.02129,8
12,13.738,5.4825,0.00149672,8
12.5,14.2339,5.4949,-0.0183498,8
13,14.7311,5.50292,-0.0244677,8
13.5,15.2302,5.50507,-0.0152826,8
14,15.7305,5.5034,-0.00628489,8
14.5,16.2314,5.50015,0.00262559,8
15,16.7323,5.49756,0.0115525,8
15.5,17.2325,5.49787,0.0205974,8
16,17.7315,5.5032,0.0179281,8
16.5,18.2293,5.51281,0.00137139,8
17,18.727,5.52276,-0.0152228,8
17.5,19.2254,5.52894,-0.0315689,8
18,19.7258,5.52727,-0.0473457,8
18.5,20.2289,5.51364,-0.0621668,7.50334
19,20.7359,5.48427,-0.0439516,8
19.5,21.2456,5.44368,0.00923873,8
20,21.7547,5.40557,0.0631367,7.18309
20.5,22.2598,5.38408,0.121545,5.36617
21,22.7576,5.39337,0.186466,4.33246
21.5,23.2447,5.44757,0.255095,3.70411
22,23.7177,5.56046,0.271183,3.59255
22.5,24.1749,5.73522,0.227192,3.92498
23,24.6163,5.96346,0.184177,4.3593
23.5,25.042,6.23616,0.1461,4.8945
24,25.4522,6.54432,0.113776,5.54638
24.5,25.847,6.87896,0.0863864,6.36519
25,26.2265,7.23105,0.0624334,7.4873
25.5,26.5908,7.59163,0.0421296,8
26,26.9416,7.95416,0.0267309,8
26.5,27.2832,8.31682,0.00980218,8
27,27.6204,8.67831,-0.0079841,8
27.5,27.958,9.03735,-0.0258977,8
28,28.3007,9.39265,-0.043158,8
28.5,28.6532,9.74291,-0.0589519,7.70522
29,29.0204,10.0869,-0.0724778,6.94915
29.5,29.407,10.4232,-0.0830249,6.49277
30,29.8164,10.7511,-0.0477065,7.74638
30.5,30.2409,11.0738,-0.00432826,8
31,30.6675,11.3966,0.0381375,7.71044
31.5,31.0831,11.7246,0.0848946,6.42087
32,31.4746,12.0631,0.141203,4.97865
32.5,31.8289,12.4172,0.211621,4.06682
33,32.133,12.7922,0.296454,3.43602
33.5,32.3737,13.1933,0.383674,3.02032
34,32.538,13.6257,0.398416,2.96392
34.5,32.6237,14.0902,0.278297,3.54634
35,32.6473,14.5802,0.173931,4.48586
35.5,32.6273,15.0882,0.0912338,6.19379
36,32.5823,15.6067,0.0225989,7.27056
36.5,32.5307,16.1282,-0.0421715,7.3147
37,32.491,16.6453,-0.086559,6.35884
37.5,32.4732,17.1539,-0.0647263,7.35349
38,32.4719,17.6556,-0.0397245,8
38.5,32.4805,18.1529,-0.0127843,8
39,32.4922,18.648,0.0149604,8
39.5,32.5003,19.1433,0.042397,8
40,32.4979,19.6411,0.051203,8
40.5,32.4837,20.1424,0.0169525,8
41,32.4651,20.6454,-0.0163652,8
41.5,32.4507,21.1484,-0.0500175,7.707
42,32.4489,21.6495,-0.0850768,6.41399
42.5,32.4683,22.1467,-0.122018,5.35577
43,32.5173,22.6383,-0.147866,4.86519
43.5,32.6011,23.1233,-0.140569,4.98987
44,32.7184,23.6024,-0.130687,5.1751
44.5,32.8676,24.0768,-0.119076,5.42154
45,33.047,24.5473,-0.106563,5.73101
45.5,33.2549,25.0149,-0.0938438,6.10705
46,33.4896,25.4805,-0.0814384,6.55571
46.5,33.7496,25.9438,-0.0919826,6.16852
47,34.0346,26.3975,-0.107554,5.70455
47.5,34.3443,26.8327,-0.128361,5.22177
48,34.6788,27.2405,-0.155779,4.74001
48.5,35.0379,27.612,-0.191137,4.27919
49,35.4216,27.9381,-0.234882,3.86019
49.5,35.8297,28.2099,-0.284833,3.50541
50,36.2622,28.4185,-0.333677,3.2387
50.5,36.7189,28.5554,-0.3156,3.33016
51,37.1973,28.6235,-0.227751,3.92016
