t,x,y,v,steer_deg,accel
0,2.5,2.5,7.83446,2.44086,-0
0.02,2.65299,2.53383,7.83446,1.22086,-0
0.04,2.80593,2.56794,7.83446,5.16917,-0.918502
0.06,2.95857,2.6025,7.81609,3.44215,-0.862218
0.08,3.11071,2.63765,7.79885,2.21798,-0.809384
0.1,3.26242,2.67316,7.78266,14.0115,-2.54136
0.12,3.41319,2.70977,7.73183,9.26729,-2.38563
0.14,3.56255,2.74791,7.68412,5.99597,-2.23945
0.16,3.71073,2.78696,7.63933,3.73219,-2.10222
0.18,3.85787,2.8265,7.59729,23.2359,-4.26068
0.2,4.00323,2.86772,7.51207,14.691,-3.9996
0.22,4.14619,2.91126,7.43208,9.19477,-3.75452
0.24,4.28715,2.95599,7.35699,31.7734,-5.6889
0.26,4.42539,3.00294,7.24321,20.7682,-5.3403
0.28,4.56032,3.05266,7.13641,13.1125,-5.01306
0.3,4.69249,3.10382,7.03614,37.6257,-5.94691
0.32,4.82152,3.15691,6.91721,28.4082,-5.5825
0.34,4.94687,3.21274,6.80556,18.3147,-5.24042
0.36,5.06901,3.27039,6.70075,11.8736,-4.9193
0.38,5.18854,3.32879,6.60236,41.6016,-4.42889
0.4,5.30525,3.38863,6.51378,33.6568,-4.1575
0.42,5.41874,3.45087,6.43063,24.0653,-3.90274
0.44,5.52929,3.51505,6.35258,16.0007,-3.66359
0.46,5.63742,3.58035,6.27931,39.3029,-1.83475
0.48,5.74328,3.64723,6.24261,30.8405,-1.72232
0.5,5.84673,3.71651,6.20817,20.838,-1.61679
0.52,5.94808,3.78768,6.17583,13.8186,-1.51771
0.54,6.04789,3.85992,6.14548,22.5974,0.584257
0.56,6.14644,3.93355,6.15716,15.4317,0.548456
0.58,6.24401,4.00887,6.16813,10.318,0.514848
0.6,6.34094,4.08533,6.17843,6.58943,0.4833
0.62,6.43751,4.16258,6.18809,2.77953,1.43875
0.64,6.53409,4.24043,6.21687,1.48657,1.35058
0.66,6.63097,4.3188,6.24388,0.572325,1.26782
0.68,6.72819,4.39758,6.26924,-0.0509601,1.19013
0.7,6.82578,4.47668,6.29304,-14.1724,0.0534594
0.72,6.92402,4.55537,6.29411,-10.654,0.0501836
0.74,7.02309,4.63305,6.29511,-7.9263,0.0471084
0.76,7.12276,4.70999,6.29605,-5.80857,0.0442218
0.78,7.22287,4.78638,6.29694,-30.9541,-2.59347
0.8,7.32377,4.86087,6.24507,-22.2176,-2.43455
0.82,7.42552,4.93247,6.19638,-15.8473,-2.28537
0.84,7.52762,5.0019,6.15067,-11.2527,-2.14533
0.86,7.62973,5.06972,6.10776,-48.4677,-4.90104
0.88,7.73183,5.13498,6.00974,-42.7221,-4.60072
0.9,7.83394,5.19661,5.91773,-35.5505,-4.3188
0.92,7.93604,5.25475,5.83135,-27.0126,-4.05416
0.94,8.038,5.30968,5.75027,-18.6288,-3.80573
0.96,8.13953,5.36204,5.67415,-73.7099,-5.36511
0.98,8.24041,5.41164,5.56685,-70.8716,-5.03635
1,8.34055,5.45794,5.46613,-66.7692,-4.72773
1.02,8.43995,5.50111,5.37157,-61.4656,-4.43803
1.04,8.53863,5.54129,5.28281,-116.463,-4.34362
1.06,8.63654,5.5786,5.19594,-117.219,-4.07746
1.08,8.73368,5.61317,5.11439,-116.826,-3.8276
1.1,8.83005,5.6451,5.03784,-115.331,-3.59306
1.12,8.92566,5.6745,4.96598,-112.78,-3.37289
1.14,9.02054,5.70149,4.89852,-157.319,-1.70184
1.16,9.11499,5.72622,4.86448,-158.347,-1.59755
1.18,9.20928,5.74883,4.83253,-158.383,-1.49966
1.2,9.30342,5.76934,4.80254,-157.444,-1.40776
1.22,9.39739,5.78781,4.77438,-155.543,-1.3215
1.24,9.49118,5.80426,4.74795,-177.998,1.46642
1.26,9.58532,5.81879,4.77728,-177.614,1.37656
1.28,9.6803,5.83148,4.80481,-176.294,1.29221
1.3,9.77604,5.84226,4.83066,-174.02,1.21303
1.32,9.87249,5.85112,4.85492,-170.774,1.1387
1.34,9.96957,5.85799,4.87769,-174.963,4.21555
1.36,10.0676,5.86288,4.93769,-171.527,4.03171
1.38,10.1669,5.86573,4.99769,-167.072,3.84788
1.4,10.2675,5.86646,5.05769,-161.558,3.66405
1.42,10.3692,5.865,5.11769,-154.949,3.48022
1.44,10.4721,5.86127,5.17769,-147.205,3.29639
1.46,10.5761,5.85519,5.23769,-135.746,5.71697
1.48,10.6811,5.84668,5.29769,-126.086,5.53314
1.5,10.787,5.83567,5.35769,-115.212,5.3493
1.52,10.8939,5.82208,5.41769,-103.087,5.16547
1.54,11.0017,5.80583,5.47769,-78.9571,6.46151
1.56,11.1102,5.78686,5.53769,-63.1733,6.27768
1.58,11.2194,5.76509,5.59769,-46.0377,6.09384
1.6,11.3292,5.74044,5.65769,-27.5155,5.91001
1.62,11.4396,5.71298,5.71769,-8.73546,5.72618
1.64,11.5507,5.68365,5.77769,18.5784,6.10616
1.66,11.6632,5.65446,5.83769,23.1886,5.92233
1.68,11.7772,5.62684,5.89769,25.1591,5.7385
1.7,11.893,5.60121,5.95769,25.2965,5.55467
1.72,12.0104,5.57776,6.01769,35.8205,5.56539
1.74,12.1295,5.55686,6.07769,32.9406,5.38156
1.76,12.2503,5.53888,6.13769,28.6307,5.19773
1.78,12.3728,5.52386,6.19769,23.5533,5.0139
1.8,12.4967,5.51147,6.25769,26.0447,5.0238
1.82,12.6221,5.50165,6.31769,20.7595,4.83997
1.84,12.7488,5.49431,6.37769,16.6411,4.65614
1.86,12.8769,5.48894,6.43769,13.3144,4.47231
1.88,13.0062,5.48517,6.49769,13.6045,4.47394
1.9,13.1367,5.48288,6.55769,10.6771,4.29011
1.92,13.2684,5.48194,6.61769,8.30519,4.10627
1.94,13.4014,5.48208,6.67769,6.38672,3.92244
1.96,13.5355,5.48307,6.73769,4.34405,3.84341
1.98,13.6709,5.48471,6.79769,3.37621,3.65958
2,13.8074,5.48683,6.85769,2.58651,3.47575
2.02,13.9452,5.48933,6.91769,1.95072,3.29191
2.04,14.0841,5.49213,6.97769,-2.31741,3.13221
2.06,14.2242,5.49494,7.03769,-1.59747,2.94838
2.08,14.3655,5.49751,7.09666,-1.06097,2.76771
2.1,14.508,5.49994,7.15201,-5.10292,2.59812
2.12,14.6515,5.50197,7.20397,-3.55809,2.43891
2.14,14.7961,5.50343,7.25275,-2.40745,2.28946
2.16,14.9416,5.50449,7.29854,-1.56504,2.14917
2.18,15.088,5.50529,7.34152,-4.15398,2.01747
2.2,15.2352,5.50569,7.38187,-2.7378,1.89385
2.22,15.3833,5.5056,7.41975,-1.71998,1.7778
2.24,15.532,5.5052,7.45531,-1.82813,1.66886
2.26,15.6814,5.50453,7.48868,-1.15673,1.5666
2.28,15.8315,5.50365,7.52002,-0.684351,1.4706
2.3,15.9822,5.50263,7.54943,0.455885,1.38049
2.32,16.1335,5.50159,7.57704,0.366422,1.2959
2.34,16.2853,5.50061,7.60296,0.289668,1.21649
2.36,16.4376,5.49967,7.62729,0.225431,1.14194
2.38,16.5904,5.49877,7.65012,2.7983,1.07197
2.4,16.7436,5.4981,7.67156,1.87048,1.00628
2.42,16.8972,5.49778,7.69169,1.2044,0.944619
2.44,17.0512,5.49769,7.71058,4.45112,0.886736
2.46,17.2056,5.49805,7.72832,2.99251,0.832399
2.48,17.3603,5.49897,7.74496,1.94514,0.781392
2.5,17.5154,5.50029,7.76059,4.15321,0.73351
2.52,17.6707,5.50208,7.77526,2.7776,0.688563
2.54,17.8264,5.50441,7.78903,1.79398,0.64637
2.56,17.9822,5.50712,7.80196,1.16996,0.606762
2.58,18.1384,5.51005,7.8141,0.710362,0.569581
2.6,18.2947,5.51315,7.82549,0.396744,0.534679
2.62,18.4513,5.51633,7.83618,0.189009,0.501915
2.64,18.6081,5.51956,7.84622,-3.65477,0.471159
2.66,18.7651,5.52252,7.85564,-2.40555,0.442288
2.68,18.9223,5.525,7.86449,-1.52226,0.415186
2.7,19.0797,5.52717,7.87279,-7.74118,0.389745
2.72,19.2372,5.5286,7.88059,-4.97934,0.365862
2.74,19.3949,5.529,7.88791,-3.06323,0.343443
2.76,19.5527,5.52875,7.89477,-11.3315,0.322398
2.78,19.7106,5.52733,7.90122,-7.23608,0.302642
2.8,19.8687,5.52439,7.90727,-4.43179,0.284097
2.82,20.0269,5.52051,7.91296,-13.1625,0.198761
2.84,20.1851,5.51517,7.91693,-8.58977,0.186582
2.86,20.3433,5.50805,7.92066,-5.44329,0.175149
2.88,20.5015,5.49978,7.92417,-10.1098,-0.273038
2.9,20.6597,5.49025,7.91871,-6.67522,-0.256307
2.92,20.8176,5.47935,7.91358,-4.27718,-0.240602
2.94,20.9754,5.46757,7.90877,-2.61796,-0.225858
2.96,21.133,5.45524,7.90425,1.15905,-1.43554
2.98,21.2903,5.44282,7.87554,0.905817,-1.34757
3,21.4471,5.43061,7.84859,0.697185,-1.265
3.02,21.6034,5.41856,7.82329,15.0437,-3.46887
3.04,21.7588,5.40785,7.75391,9.75445,-3.25631
3.06,21.9129,5.39918,7.68878,6.17274,-3.05677
3.08,22.0659,5.39181,7.62765,28.3149,-5.79172
3.1,22.2173,5.38727,7.51181,17.6964,-5.43682
3.12,22.3664,5.38636,7.40308,11.2115,-5.10367
3.14,22.5134,5.38756,7.301,40.3159,-7.56668
3.16,22.6579,5.39175,7.14967,31.5251,-7.10302
3.18,22.7992,5.40018,7.00761,20.7887,-6.66776
3.2,22.9375,5.4119,6.87426,13.3733,-6.25918
3.22,23.0731,5.42554,6.74907,55.1991,-7.6964
3.24,23.2055,5.44158,6.59514,49.2285,-7.22479
3.26,23.3345,5.46092,6.45065,41.5564,-6.78207
3.28,23.4602,5.48333,6.31501,32.2885,-6.36649
3.3,23.5827,5.50859,6.18768,74.2146,-6.63813
3.32,23.7019,5.53649,6.05491,70.0732,-6.23136
3.34,23.8178,5.56682,5.93029,64.4643,-5.84952
3.36,23.9306,5.59942,5.8133,57.4724,-5.49108
3.38,24.0404,5.63413,5.70347,94.5624,-4.80142
3.4,24.1474,5.67084,5.60745,91.3634,-4.5072
3.42,24.2517,5.70947,5.5173,86.8878,-4.23101
3.44,24.3535,5.7499,5.43268,81.1915,-3.97175
3.46,24.4528,5.79205,5.35325,106.915,-2.66418
3.48,24.5499,5.83592,5.29996,103.78,-2.50093
3.5,24.645,5.88153,5.24995,99.4974,-2.34768
3.52,24.7382,5.92883,5.20299,94.0943,-2.20382
3.54,24.8295,5.97776,5.15892,87.5965,-2.06877
3.56,24.919,6.02828,5.11754,105.537,-0.330478
3.58,25.007,6.08051,5.11093,100.629,-0.310227
3.6,25.0936,6.13458,5.10473,94.6419,-0.291217
3.62,25.179,6.19047,5.0989,87.5756,-0.273372
3.64,25.263,6.24814,5.09343,79.4322,-0.256621
3.66,25.3457,6.30756,5.0883,89.2123,1.79129
3.68,25.4273,6.36897,5.12413,81.8141,1.68152
3.7,25.5081,6.43257,5.15776,73.2884,1.57849
3.72,25.5879,6.49836,5.18933,63.6168,1.48176
3.74,25.6668,6.56631,5.21896,52.7826,1.39096
3.76,25.7445,6.63638,5.24678,54.7667,3.55652
3.78,25.8213,6.70879,5.30678,43.8675,3.37269
3.8,25.8973,6.78376,5.36678,31.712,3.18886
3.82,25.9723,6.86133,5.42678,18.2628,3.00502
3.84,26.0468,6.94112,5.48678,8.39352,2.82119
3.86,26.1212,7.0225,5.54321,11.9115,4.73852
3.88,26.1959,7.10528,5.60321,4.99737,4.55469
3.9,26.2708,7.18942,5.66321,0.0701367,4.37086
3.92,26.3464,7.2746,5.72321,-3.32721,4.18702
3.94,26.4228,7.36058,5.78321,-5.52893,4.00319
